schedule_operation_id,machine_id,task,task_mode,planned_start,planned_end,product_finished
TEXTILE-SCHEDULE-0001,MAQ118,Harden[1.5],Harden[1.5] TM2,2026-01-05T08:05:00+00:00,2026-01-05T08:10:00+00:00,
TEXTILE-SCHEDULE-0002,MAQ118,Harden[1.5],Harden[1.5] TM2,2026-01-05T09:20:00+00:00,2026-01-05T09:25:00+00:00,
TEXTILE-SCHEDULE-0003,MAQ118,Harden[1],Harden[1] TM3,2026-01-05T11:35:00+00:00,2026-01-05T11:40:00+00:00,
TEXTILE-SCHEDULE-0004,MAQ118,Ironing,Ironing TM3,2026-01-05T12:25:00+00:00,2026-01-05T13:10:00+00:00,GORGORÃO RIBBON W/ INSCR
TEXTILE-SCHEDULE-0005,MAQ118,Harden[1.5],Harden[1.5] TM2,2026-01-05T13:30:00+00:00,2026-01-05T13:35:00+00:00,
TEXTILE-SCHEDULE-0006,MAQ118,Ironing,Ironing TM3,2026-01-05T15:20:00+00:00,2026-01-05T16:05:00+00:00,
TEXTILE-SCHEDULE-0007,MAQ118,Harden[1],Harden[1] TM3,2026-01-05T16:40:00+00:00,2026-01-05T16:45:00+00:00,TAFFETA EMBLEM
TEXTILE-SCHEDULE-0008,MAQ118,Ironing,Ironing TM3,2026-01-05T17:35:00+00:00,2026-01-05T18:20:00+00:00,
TEXTILE-SCHEDULE-0009,MAQ118,Harden[0.5],Harden[0.5] TM2,2026-01-05T19:45:00+00:00,2026-01-05T19:50:00+00:00,
TEXTILE-SCHEDULE-0010,MAQ118,Ironing,Ironing TM3,2026-01-05T23:05:00+00:00,2026-01-05T23:50:00+00:00,
TEXTILE-SCHEDULE-0011,MAQ118,Harden[1.5],Harden[1.5] TM2,2026-01-06T00:10:00+00:00,2026-01-06T00:15:00+00:00,
TEXTILE-SCHEDULE-0012,MAQ118,Harden[1],Harden[1] TM3,2026-01-06T01:40:00+00:00,2026-01-06T01:45:00+00:00,
TEXTILE-SCHEDULE-0013,MAQ118,Harden[1.5],Harden[1.5] TM2,2026-01-06T02:30:00+00:00,2026-01-06T02:35:00+00:00,
TEXTILE-SCHEDULE-0014,MAQ118,Harden[1],Harden[1] TM3,2026-01-06T03:45:00+00:00,2026-01-06T03:50:00+00:00,
TEXTILE-SCHEDULE-0015,MAQ118,Harden[0.5],Harden[0.5] TM2,2026-01-06T04:45:00+00:00,2026-01-06T04:50:00+00:00,
TEXTILE-SCHEDULE-0016,MAQ118,Harden[1.5],Harden[1.5] TM2,2026-01-06T05:10:00+00:00,2026-01-06T05:15:00+00:00,
TEXTILE-SCHEDULE-0017,MAQ118,Harden[0.5],Harden[0.5] TM2,2026-01-06T06:25:00+00:00,2026-01-06T06:30:00+00:00,
TEXTILE-SCHEDULE-0018,MAQ118,Ironing,Ironing TM3,2026-01-06T07:05:00+00:00,2026-01-06T07:50:00+00:00,
TEXTILE-SCHEDULE-0019,MAQ118,Harden[0.5],Harden[0.5] TM2,2026-01-06T08:05:00+00:00,2026-01-06T08:10:00+00:00,SMOOTH ELASTIC(A)
TEXTILE-SCHEDULE-0020,MAQ118,Ironing,Ironing TM3,2026-01-06T08:30:00+00:00,2026-01-06T09:15:00+00:00,ESTORE RIBBON
TEXTILE-SCHEDULE-0021,MAQ118,Ironing,Ironing TM3,2026-01-06T09:50:00+00:00,2026-01-06T10:35:00+00:00,SMOOTH STRAP(A)
TEXTILE-SCHEDULE-0022,MAQ118,Ironing,Ironing TM3,2026-01-06T14:05:00+00:00,2026-01-06T14:50:00+00:00,
TEXTILE-SCHEDULE-0023,MAQ118,Harden[2],Harden[2] TM1,2026-01-06T15:45:00+00:00,2026-01-06T17:40:00+00:00,ROK ELASTIC
TEXTILE-SCHEDULE-0024,MAQ118,Harden[1],Harden[1] TM3,2026-01-06T17:50:00+00:00,2026-01-06T17:55:00+00:00,
TEXTILE-SCHEDULE-0025,MAQ118,Harden[1],Harden[1] TM3,2026-01-06T18:45:00+00:00,2026-01-06T18:50:00+00:00,
TEXTILE-SCHEDULE-0026,MAQ118,Harden[0.5],Harden[0.5] TM2,2026-01-06T19:35:00+00:00,2026-01-06T19:40:00+00:00,
TEXTILE-SCHEDULE-0027,MAQ118,Harden[1],Harden[1] TM3,2026-01-06T20:05:00+00:00,2026-01-06T20:10:00+00:00,STRAP W/ STRIPES
TEXTILE-SCHEDULE-0028,MAQ118,Harden[0.5],Harden[0.5] TM2,2026-01-06T20:55:00+00:00,2026-01-06T21:00:00+00:00,
TEXTILE-SCHEDULE-0029,MAQ118,Harden[1],Harden[1] TM3,2026-01-06T21:30:00+00:00,2026-01-06T21:35:00+00:00,
TEXTILE-SCHEDULE-0030,MAQ118,Harden[1],Harden[1] TM3,2026-01-06T22:20:00+00:00,2026-01-06T22:25:00+00:00,
TEXTILE-SCHEDULE-0031,MAQ118,Harden[1],Harden[1] TM3,2026-01-06T23:20:00+00:00,2026-01-06T23:25:00+00:00,TAFFETA EMBLEM
TEXTILE-SCHEDULE-0032,MAQ118,Harden[1],Harden[1] TM3,2026-01-07T00:20:00+00:00,2026-01-07T00:25:00+00:00,
TEXTILE-SCHEDULE-0033,MAQ118,Harden[0.5],Harden[0.5] TM2,2026-01-07T01:15:00+00:00,2026-01-07T01:20:00+00:00,
TEXTILE-SCHEDULE-0034,MAQ118,Harden[1],Harden[1] TM3,2026-01-07T01:50:00+00:00,2026-01-07T01:55:00+00:00,
TEXTILE-SCHEDULE-0035,MAQ118,Harden[0.5],Harden[0.5] TM2,2026-01-07T02:55:00+00:00,2026-01-07T03:00:00+00:00,SMOOTH ELASTIC(A)
TEXTILE-SCHEDULE-0036,MAQ118,Harden[0.5],Harden[0.5] TM2,2026-01-07T03:20:00+00:00,2026-01-07T03:25:00+00:00,
TEXTILE-SCHEDULE-0037,MAQ118,Harden[1],Harden[1] TM3,2026-01-07T04:10:00+00:00,2026-01-07T04:15:00+00:00,
TEXTILE-SCHEDULE-0038,MAQ118,Ironing,Ironing TM3,2026-01-07T05:25:00+00:00,2026-01-07T06:10:00+00:00,GORGORÃO RIBBON
TEXTILE-SCHEDULE-0039,MAQ118,Harden[1],Harden[1] TM3,2026-01-07T08:15:00+00:00,2026-01-07T08:20:00+00:00,STRAP W/ STRIPES
TEXTILE-SCHEDULE-0040,MAQ118,Harden[1],Harden[1] TM3,2026-01-07T09:20:00+00:00,2026-01-07T09:25:00+00:00,
TEXTILE-SCHEDULE-0041,MAQ118,Harden[0.5],Harden[0.5] TM2,2026-01-07T10:05:00+00:00,2026-01-07T10:10:00+00:00,SMOOTH ELASTIC(A)
TEXTILE-SCHEDULE-0042,MAQ118,Harden[0.5],Harden[0.5] TM2,2026-01-07T10:30:00+00:00,2026-01-07T10:35:00+00:00,
TEXTILE-SCHEDULE-0043,MAQ118,Ironing,Ironing TM3,2026-01-07T10:55:00+00:00,2026-01-07T11:40:00+00:00,ELASTIC W/ INSCR
