operation_id,work_order_id,sequence,required_capability,processing_time_min,eligible_machine_ids,predecessors,source_run
TEXTILE-WO-0001-OP-001,TEXTILE-WO-0001,1,Ironing,45,MAQ118|MAQ119|MAQ120,,1
TEXTILE-WO-0001-OP-002,TEXTILE-WO-0001,2,Harden[1],25,MAQ118|MAQ119,TEXTILE-WO-0001-OP-001,1
TEXTILE-WO-0001-OP-003,TEXTILE-WO-0001,3,Harden[1],25,MAQ118|MAQ119,TEXTILE-WO-0001-OP-002,2
TEXTILE-WO-0001-OP-004,TEXTILE-WO-0001,4,Harden[0.5],25,MAQ118|MAQ119,TEXTILE-WO-0001-OP-003,1
TEXTILE-WO-0002-OP-001,TEXTILE-WO-0002,1,Ironing,45,MAQ118|MAQ119|MAQ120,,1
TEXTILE-WO-0002-OP-002,TEXTILE-WO-0002,2,Ironing,45,MAQ118|MAQ119|MAQ120,TEXTILE-WO-0002-OP-001,2
TEXTILE-WO-0002-OP-003,TEXTILE-WO-0002,3,Ironing,45,MAQ118|MAQ119|MAQ120,TEXTILE-WO-0002-OP-002,3
TEXTILE-WO-0003-OP-001,TEXTILE-WO-0003,1,Ironing,45,MAQ118|MAQ119|MAQ120,,1
TEXTILE-WO-0003-OP-002,TEXTILE-WO-0003,2,Ironing,45,MAQ118|MAQ119|MAQ120,TEXTILE-WO-0003-OP-001,2
TEXTILE-WO-0003-OP-003,TEXTILE-WO-0003,3,Ironing,45,MAQ118|MAQ119|MAQ120,TEXTILE-WO-0003-OP-002,3
TEXTILE-WO-0003-OP-004,TEXTILE-WO-0003,4,Harden[0.5],25,MAQ118|MAQ119,TEXTILE-WO-0003-OP-003,1
TEXTILE-WO-0003-OP-005,TEXTILE-WO-0003,5,Harden[1],25,MAQ118|MAQ119,TEXTILE-WO-0003-OP-004,1
TEXTILE-WO-0003-OP-006,TEXTILE-WO-0003,6,Harden[1],25,MAQ118|MAQ119,TEXTILE-WO-0003-OP-005,2
TEXTILE-WO-0003-OP-007,TEXTILE-WO-0003,7,Harden[1.5],75,MAQ118|MAQ119,TEXTILE-WO-0003-OP-006,1
TEXTILE-WO-0004-OP-001,TEXTILE-WO-0004,1,Ironing,45,MAQ118|MAQ119|MAQ120,,1
TEXTILE-WO-0005-OP-001,TEXTILE-WO-0005,1,Ironing,45,MAQ118|MAQ119|MAQ120,,1
TEXTILE-WO-0006-OP-001,TEXTILE-WO-0006,1,Harden[1],25,MAQ118|MAQ119,,1
TEXTILE-WO-0007-OP-001,TEXTILE-WO-0007,1,Sublimation,20,MAQ120,,1
TEXTILE-WO-0007-OP-002,TEXTILE-WO-0007,2,Anti-Shrinkage,35,MAQ120,TEXTILE-WO-0007-OP-001,1
TEXTILE-WO-0008-OP-001,TEXTILE-WO-0008,1,Ironing,45,MAQ118|MAQ119|MAQ120,,1
TEXTILE-WO-0008-OP-002,TEXTILE-WO-0008,2,Anti-Shrinkage,35,MAQ120,TEXTILE-WO-0008-OP-001,1
TEXTILE-WO-0008-OP-003,TEXTILE-WO-0008,3,Anti-Shrinkage,35,MAQ120,TEXTILE-WO-0008-OP-002,2
TEXTILE-WO-0008-OP-004,TEXTILE-WO-0008,4,Harden[0.5],25,MAQ118|MAQ119,TEXTILE-WO-0008-OP-003,1
TEXTILE-WO-0009-OP-001,TEXTILE-WO-0009,1,Ironing,45,MAQ118|MAQ119|MAQ120,,1
TEXTILE-WO-0009-OP-002,TEXTILE-WO-0009,2,Anti-Shrinkage,35,MAQ120,TEXTILE-WO-0009-OP-001,1
TEXTILE-WO-0009-OP-003,TEXTILE-WO-0009,3,Anti-Shrinkage,35,MAQ120,TEXTILE-WO-0009-OP-002,2
TEXTILE-WO-0009-OP-004,TEXTILE-WO-0009,4,Harden[0.5],25,MAQ118|MAQ119,TEXTILE-WO-0009-OP-003,1
TEXTILE-WO-0010-OP-001,TEXTILE-WO-0010,1,Harden[2],115,MAQ118,,1
TEXTILE-WO-0010-OP-002,TEXTILE-WO-0010,2,Harden[1.5],75,MAQ118|MAQ119,TEXTILE-WO-0010-OP-001,1
TEXTILE-WO-0011-OP-001,TEXTILE-WO-0011,1,Ironing,45,MAQ118|MAQ119|MAQ120,,1
TEXTILE-WO-0012-OP-001,TEXTILE-WO-0012,1,Anti-Shrinkage,35,MAQ120,,1
TEXTILE-WO-0013-OP-001,TEXTILE-WO-0013,1,Sublimation,20,MAQ120,,1
TEXTILE-WO-0014-OP-001,TEXTILE-WO-0014,1,Harden[0.5],25,MAQ118|MAQ119,,1
TEXTILE-WO-0015-OP-001,TEXTILE-WO-0015,1,Harden[1],25,MAQ118|MAQ119,,1
TEXTILE-WO-0015-OP-002,TEXTILE-WO-0015,2,Harden[1],25,MAQ118|MAQ119,TEXTILE-WO-0015-OP-001,2
TEXTILE-WO-0015-OP-003,TEXTILE-WO-0015,3,Anti-Shrinkage,35,MAQ120,TEXTILE-WO-0015-OP-002,1
