work_order_id,product_id,product_name,quantity,priority,due_time,status
TEXTILE-WO-0001,WOVEN LABEL OURELA FABRIC,WOVEN LABEL OURELA FABRIC,13,0,2026-01-09T07:00:00+00:00,planned
TEXTILE-WO-0002,ESTORE RIBBON,ESTORE RIBBON,6,0,2026-01-09T07:00:00+00:00,planned
TEXTILE-WO-0003,WOVEN LABEL OURELA CUT,WOVEN LABEL OURELA CUT,5,0,2026-01-09T07:00:00+00:00,planned
TEXTILE-WO-0004,GORGORÃO RIBBON,GORGORÃO RIBBON,13,0,2026-01-09T07:00:00+00:00,planned
TEXTILE-WO-0005,GORGORÃO RIBBON W/ INSCR,GORGORÃO RIBBON W/ INSCR,5,0,2026-01-09T07:00:00+00:00,planned
TEXTILE-WO-0006,TAFFETA EMBLEM,TAFFETA EMBLEM,10,0,2026-01-09T07:00:00+00:00,planned
TEXTILE-WO-0007,PRINTED RIBBON,PRINTED RIBBON,30,0,2026-01-09T07:00:00+00:00,planned
TEXTILE-WO-0008,ELASTIC W/ INSCR,ELASTIC W/ INSCR,2,0,2026-01-09T07:00:00+00:00,planned
TEXTILE-WO-0009,ELASTIC W/ INSCR,ELASTIC W/ INSCR,1,100,2026-01-08T15:00:00+00:00,planned
TEXTILE-WO-0010,ROK ELASTIC,ROK ELASTIC,3,0,2026-01-09T07:00:00+00:00,planned
TEXTILE-WO-0011,SMOOTH STRAP(A),SMOOTH STRAP(A),4,0,2026-01-09T07:00:00+00:00,planned
TEXTILE-WO-0012,BRAIDED ELASTIC,BRAIDED ELASTIC,15,0,2026-01-09T07:00:00+00:00,planned
TEXTILE-WO-0013,PRINTED RIBBON  PES,PRINTED RIBBON  PES,10,0,2026-01-09T07:00:00+00:00,planned
TEXTILE-WO-0014,SMOOTH ELASTIC(A),SMOOTH ELASTIC(A),5,0,2026-01-09T07:00:00+00:00,planned
TEXTILE-WO-0015,STRAP W/ STRIPES,STRAP W/ STRIPES,10,0,2026-01-09T07:00:00+00:00,planned
