receipt_id,case_id,operation_id,status,terminal,provenance
REHEARSAL-RECEIPT-001,REHEARSAL-CASE-001,DT-WO-00001-OP-001,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-002,REHEARSAL-CASE-002,DT-WO-00046-OP-003,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-003,REHEARSAL-CASE-003,DT-WO-00091-OP-005,not_executed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-004,REHEARSAL-CASE-004,DT-WO-00136-OP-007,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-005,REHEARSAL-CASE-005,DT-WO-00182-OP-002,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-006,REHEARSAL-CASE-006,DT-WO-00227-OP-004,not_executed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-007,REHEARSAL-CASE-007,DT-WO-00272-OP-006,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-008,REHEARSAL-CASE-008,DT-WO-00318-OP-001,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-009,REHEARSAL-CASE-009,DT-WO-00363-OP-003,not_executed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-010,REHEARSAL-CASE-010,DT-WO-00408-OP-005,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-011,REHEARSAL-CASE-011,DT-WO-00453-OP-007,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-012,REHEARSAL-CASE-012,DT-WO-00499-OP-002,not_executed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-013,REHEARSAL-CASE-013,DT-WO-00544-OP-004,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-014,REHEARSAL-CASE-014,DT-WO-00589-OP-006,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-015,REHEARSAL-CASE-015,DT-WO-00635-OP-001,not_executed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-016,REHEARSAL-CASE-016,DT-WO-00680-OP-003,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-017,REHEARSAL-CASE-017,DT-WO-00725-OP-005,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-018,REHEARSAL-CASE-018,DT-WO-00770-OP-007,not_executed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-019,REHEARSAL-CASE-019,DT-WO-00816-OP-002,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-020,REHEARSAL-CASE-020,DT-WO-00861-OP-004,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-021,REHEARSAL-CASE-021,DT-WO-00906-OP-006,not_executed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-022,REHEARSAL-CASE-022,DT-WO-00952-OP-001,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-023,REHEARSAL-CASE-023,DT-WO-00997-OP-003,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-024,REHEARSAL-CASE-024,DT-WO-01042-OP-005,not_executed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-025,REHEARSAL-CASE-025,DT-WO-01087-OP-007,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-026,REHEARSAL-CASE-026,DT-WO-01133-OP-002,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-027,REHEARSAL-CASE-027,DT-WO-01178-OP-004,not_executed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-028,REHEARSAL-CASE-028,DT-WO-01223-OP-006,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-029,REHEARSAL-CASE-029,DT-WO-01269-OP-001,completed,True,synthetic_customer_admission_rehearsal
REHEARSAL-RECEIPT-030,REHEARSAL-CASE-030,DT-WO-01314-OP-003,not_executed,True,synthetic_customer_admission_rehearsal
