case_id,planner_role,disposition,reason_code,decided_at,provenance
REHEARSAL-CASE-001,synthetic_planner,accepted,meets_constraints,2026-07-13T00:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-002,synthetic_planner,adjusted,hidden_shift_constraint,2026-07-13T05:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-003,synthetic_planner,rejected,material_status_unconfirmed,2026-07-13T10:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-004,synthetic_planner,accepted,meets_constraints,2026-07-13T15:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-005,synthetic_planner,adjusted,hidden_shift_constraint,2026-07-13T20:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-006,synthetic_planner,rejected,material_status_unconfirmed,2026-07-14T01:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-007,synthetic_planner,accepted,meets_constraints,2026-07-14T06:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-008,synthetic_planner,adjusted,hidden_shift_constraint,2026-07-14T11:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-009,synthetic_planner,rejected,material_status_unconfirmed,2026-07-14T16:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-010,synthetic_planner,accepted,meets_constraints,2026-07-14T21:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-011,synthetic_planner,adjusted,hidden_shift_constraint,2026-07-15T02:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-012,synthetic_planner,rejected,material_status_unconfirmed,2026-07-15T07:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-013,synthetic_planner,accepted,meets_constraints,2026-07-15T12:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-014,synthetic_planner,adjusted,hidden_shift_constraint,2026-07-15T17:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-015,synthetic_planner,rejected,material_status_unconfirmed,2026-07-15T22:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-016,synthetic_planner,accepted,meets_constraints,2026-07-16T03:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-017,synthetic_planner,adjusted,hidden_shift_constraint,2026-07-16T08:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-018,synthetic_planner,rejected,material_status_unconfirmed,2026-07-16T13:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-019,synthetic_planner,accepted,meets_constraints,2026-07-16T18:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-020,synthetic_planner,adjusted,hidden_shift_constraint,2026-07-16T23:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-021,synthetic_planner,rejected,material_status_unconfirmed,2026-07-17T04:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-022,synthetic_planner,accepted,meets_constraints,2026-07-17T09:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-023,synthetic_planner,adjusted,hidden_shift_constraint,2026-07-17T14:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-024,synthetic_planner,rejected,material_status_unconfirmed,2026-07-17T19:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-025,synthetic_planner,accepted,meets_constraints,2026-07-18T00:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-026,synthetic_planner,adjusted,hidden_shift_constraint,2026-07-18T05:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-027,synthetic_planner,rejected,material_status_unconfirmed,2026-07-18T10:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-028,synthetic_planner,accepted,meets_constraints,2026-07-18T15:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-029,synthetic_planner,adjusted,hidden_shift_constraint,2026-07-18T20:20:00+00:00,synthetic_customer_admission_rehearsal
REHEARSAL-CASE-030,synthetic_planner,rejected,material_status_unconfirmed,2026-07-19T01:20:00+00:00,synthetic_customer_admission_rehearsal
