incident_id,incident_type,machine_id,start_time,duration_min,severity,provenance,seed_incident_id,generation_seed
DT-INCIDENT-0001,machine_down,M-03,2026-07-13T00:00:00+00:00,30,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0002,machine_down,M-06,2026-07-13T00:37:00+00:00,45,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0003,machine_down,M-03,2026-07-13T01:14:00+00:00,60,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0004,machine_down,M-06,2026-07-13T01:51:00+00:00,75,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0005,machine_down,M-03,2026-07-13T02:28:00+00:00,90,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0006,machine_down,M-06,2026-07-13T03:05:00+00:00,105,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0007,machine_down,M-03,2026-07-13T03:42:00+00:00,120,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0008,machine_down,M-06,2026-07-13T04:19:00+00:00,135,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0009,machine_down,M-03,2026-07-13T04:56:00+00:00,150,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0010,machine_down,M-06,2026-07-13T05:33:00+00:00,165,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0011,machine_down,M-03,2026-07-13T06:10:00+00:00,180,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0012,machine_down,M-06,2026-07-13T06:47:00+00:00,195,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0013,machine_down,M-03,2026-07-13T07:24:00+00:00,30,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0014,machine_down,M-06,2026-07-13T08:01:00+00:00,45,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0015,machine_down,M-03,2026-07-13T08:38:00+00:00,60,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0016,machine_down,M-06,2026-07-13T09:15:00+00:00,75,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0017,machine_down,M-03,2026-07-13T09:52:00+00:00,90,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0018,machine_down,M-06,2026-07-13T10:29:00+00:00,105,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0019,machine_down,M-03,2026-07-13T11:06:00+00:00,120,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0020,machine_down,M-06,2026-07-13T11:43:00+00:00,135,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0021,machine_down,M-03,2026-07-13T12:20:00+00:00,150,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0022,machine_down,M-06,2026-07-13T12:57:00+00:00,165,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0023,machine_down,M-03,2026-07-13T13:34:00+00:00,180,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0024,machine_down,M-06,2026-07-13T14:11:00+00:00,195,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0025,machine_down,M-03,2026-07-13T14:48:00+00:00,30,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0026,machine_down,M-06,2026-07-13T15:25:00+00:00,45,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0027,machine_down,M-03,2026-07-13T16:02:00+00:00,60,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0028,machine_down,M-06,2026-07-13T16:39:00+00:00,75,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0029,machine_down,M-03,2026-07-13T17:16:00+00:00,90,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0030,machine_down,M-06,2026-07-13T17:53:00+00:00,105,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0031,machine_down,M-03,2026-07-13T18:30:00+00:00,120,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0032,machine_down,M-06,2026-07-13T19:07:00+00:00,135,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0033,machine_down,M-03,2026-07-13T19:44:00+00:00,150,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0034,machine_down,M-06,2026-07-13T20:21:00+00:00,165,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0035,machine_down,M-03,2026-07-13T20:58:00+00:00,180,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0036,machine_down,M-06,2026-07-13T21:35:00+00:00,195,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0037,machine_down,M-03,2026-07-13T22:12:00+00:00,30,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0038,machine_down,M-06,2026-07-13T22:49:00+00:00,45,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0039,machine_down,M-03,2026-07-13T23:26:00+00:00,60,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0040,machine_down,M-06,2026-07-14T00:03:00+00:00,75,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0041,machine_down,M-03,2026-07-14T00:40:00+00:00,90,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0042,machine_down,M-06,2026-07-14T01:17:00+00:00,105,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0043,machine_down,M-03,2026-07-14T01:54:00+00:00,120,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0044,machine_down,M-06,2026-07-14T02:31:00+00:00,135,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0045,machine_down,M-03,2026-07-14T03:08:00+00:00,150,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0046,machine_down,M-06,2026-07-14T03:45:00+00:00,165,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0047,machine_down,M-03,2026-07-14T04:22:00+00:00,180,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0048,machine_down,M-06,2026-07-14T04:59:00+00:00,195,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0049,machine_down,M-03,2026-07-14T05:36:00+00:00,30,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0050,machine_down,M-06,2026-07-14T06:13:00+00:00,45,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0051,machine_down,M-03,2026-07-14T06:50:00+00:00,60,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0052,machine_down,M-06,2026-07-14T07:27:00+00:00,75,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0053,machine_down,M-03,2026-07-14T08:04:00+00:00,90,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0054,machine_down,M-06,2026-07-14T08:41:00+00:00,105,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0055,machine_down,M-03,2026-07-14T09:18:00+00:00,120,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0056,machine_down,M-06,2026-07-14T09:55:00+00:00,135,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
