receipt_id,operation_id,work_order_id,machine_id,status,occurred_at,idempotency_key,terminal,provenance
DT-MES-RECEIPT-00001,DT-WO-00001-OP-001,DT-WO-00001,M-01,completed,2026-07-13T00:30:00+00:00,dt-mes:DT-WO-00001-OP-001:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00002,DT-WO-00001-OP-002,DT-WO-00001,M-03,completed,2026-07-13T01:03:00+00:00,dt-mes:DT-WO-00001-OP-002:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00003,DT-WO-00001-OP-003,DT-WO-00001,M-06,completed,2026-07-13T00:26:00+00:00,dt-mes:DT-WO-00001-OP-003:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00004,DT-WO-00001-OP-004,DT-WO-00001,M-01,completed,2026-07-13T00:34:00+00:00,dt-mes:DT-WO-00001-OP-004:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00005,DT-WO-00001-OP-005,DT-WO-00001,M-03,completed,2026-07-13T01:12:00+00:00,dt-mes:DT-WO-00001-OP-005:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00006,DT-WO-00001-OP-006,DT-WO-00001,M-04,completed,2026-07-13T01:45:00+00:00,dt-mes:DT-WO-00001-OP-006:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00007,DT-WO-00001-OP-007,DT-WO-00001,M-04,completed,2026-07-13T01:48:00+00:00,dt-mes:DT-WO-00001-OP-007:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00008,DT-WO-00002-OP-001,DT-WO-00002,M-01,completed,2026-07-13T00:51:00+00:00,dt-mes:DT-WO-00002-OP-001:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00009,DT-WO-00002-OP-002,DT-WO-00002,M-03,completed,2026-07-13T01:24:00+00:00,dt-mes:DT-WO-00002-OP-002:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00010,DT-WO-00002-OP-003,DT-WO-00002,M-06,completed,2026-07-13T00:47:00+00:00,dt-mes:DT-WO-00002-OP-003:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00011,DT-WO-00002-OP-004,DT-WO-00002,M-01,completed,2026-07-13T00:55:00+00:00,dt-mes:DT-WO-00002-OP-004:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00012,DT-WO-00002-OP-005,DT-WO-00002,M-03,completed,2026-07-13T01:33:00+00:00,dt-mes:DT-WO-00002-OP-005:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00013,DT-WO-00002-OP-006,DT-WO-00002,M-04,completed,2026-07-13T02:06:00+00:00,dt-mes:DT-WO-00002-OP-006:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00014,DT-WO-00002-OP-007,DT-WO-00002,M-04,completed,2026-07-13T02:09:00+00:00,dt-mes:DT-WO-00002-OP-007:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00015,DT-WO-00003-OP-001,DT-WO-00003,M-01,completed,2026-07-13T01:12:00+00:00,dt-mes:DT-WO-00003-OP-001:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00016,DT-WO-00003-OP-002,DT-WO-00003,M-03,completed,2026-07-13T01:45:00+00:00,dt-mes:DT-WO-00003-OP-002:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00017,DT-WO-00003-OP-003,DT-WO-00003,M-06,completed,2026-07-13T01:08:00+00:00,dt-mes:DT-WO-00003-OP-003:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00018,DT-WO-00003-OP-004,DT-WO-00003,M-01,completed,2026-07-13T01:16:00+00:00,dt-mes:DT-WO-00003-OP-004:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00019,DT-WO-00003-OP-005,DT-WO-00003,M-03,completed,2026-07-13T01:54:00+00:00,dt-mes:DT-WO-00003-OP-005:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00020,DT-WO-00003-OP-006,DT-WO-00003,M-04,completed,2026-07-13T02:27:00+00:00,dt-mes:DT-WO-00003-OP-006:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00021,DT-WO-00003-OP-007,DT-WO-00003,M-04,completed,2026-07-13T02:30:00+00:00,dt-mes:DT-WO-00003-OP-007:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00022,DT-WO-00004-OP-001,DT-WO-00004,M-01,completed,2026-07-13T01:33:00+00:00,dt-mes:DT-WO-00004-OP-001:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00023,DT-WO-00004-OP-002,DT-WO-00004,M-03,failed,2026-07-13T02:06:00+00:00,dt-mes:DT-WO-00004-OP-002:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00024,DT-WO-00004-OP-003,DT-WO-00004,M-06,completed,2026-07-13T01:29:00+00:00,dt-mes:DT-WO-00004-OP-003:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00025,DT-WO-00004-OP-004,DT-WO-00004,M-01,completed,2026-07-13T01:37:00+00:00,dt-mes:DT-WO-00004-OP-004:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00026,DT-WO-00004-OP-005,DT-WO-00004,M-03,completed,2026-07-13T02:15:00+00:00,dt-mes:DT-WO-00004-OP-005:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00027,DT-WO-00004-OP-006,DT-WO-00004,M-04,completed,2026-07-13T02:48:00+00:00,dt-mes:DT-WO-00004-OP-006:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00028,DT-WO-00004-OP-007,DT-WO-00004,M-04,completed,2026-07-13T02:51:00+00:00,dt-mes:DT-WO-00004-OP-007:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00029,DT-WO-00005-OP-001,DT-WO-00005,M-01,completed,2026-07-13T01:54:00+00:00,dt-mes:DT-WO-00005-OP-001:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00030,DT-WO-00005-OP-002,DT-WO-00005,M-03,completed,2026-07-13T02:27:00+00:00,dt-mes:DT-WO-00005-OP-002:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00031,DT-WO-00005-OP-003,DT-WO-00005,M-06,completed,2026-07-13T01:50:00+00:00,dt-mes:DT-WO-00005-OP-003:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00032,DT-WO-00005-OP-004,DT-WO-00005,M-01,completed,2026-07-13T01:58:00+00:00,dt-mes:DT-WO-00005-OP-004:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00033,DT-WO-00005-OP-005,DT-WO-00005,M-03,completed,2026-07-13T02:36:00+00:00,dt-mes:DT-WO-00005-OP-005:v1,True,synthetic_digital_twin_mes_receipt
DT-MES-RECEIPT-00034,DT-WO-00005-OP-006,DT-WO-00005,M-04,completed,2026-07-13T03:09:00+00:00,dt-mes:DT-WO-00005-OP-006:v1,True,synthetic_digital_twin_mes_receipt
