operation_id,work_order_id,sequence,machine_id,processing_time_min,planned_start,planned_end,provenance,seed_operation_id,generation_seed
DT-WO-00001-OP-001,DT-WO-00001,1,M-01,30,2026-07-13T00:00:00+00:00,2026-07-13T00:30:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00001-OP-002,DT-WO-00001,2,M-03,60,2026-07-13T00:03:00+00:00,2026-07-13T01:03:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00001-OP-003,DT-WO-00001,3,M-06,20,2026-07-13T00:06:00+00:00,2026-07-13T00:26:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00001-OP-004,DT-WO-00001,4,M-01,25,2026-07-13T00:09:00+00:00,2026-07-13T00:34:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00001-OP-005,DT-WO-00001,5,M-03,60,2026-07-13T00:12:00+00:00,2026-07-13T01:12:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00001-OP-006,DT-WO-00001,6,M-04,90,2026-07-13T00:15:00+00:00,2026-07-13T01:45:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00001-OP-007,DT-WO-00001,7,M-04,90,2026-07-13T00:18:00+00:00,2026-07-13T01:48:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00002-OP-001,DT-WO-00002,1,M-01,30,2026-07-13T00:21:00+00:00,2026-07-13T00:51:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00002-OP-002,DT-WO-00002,2,M-03,60,2026-07-13T00:24:00+00:00,2026-07-13T01:24:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00002-OP-003,DT-WO-00002,3,M-06,20,2026-07-13T00:27:00+00:00,2026-07-13T00:47:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
