case_id,item_id,quantity,source_type
stress_1,829D0100,180,simulated_stress
stress_1,787A0100,220,simulated_stress
stress_1,1320_0101,213,simulated_stress
stress_1,831A0600,200,simulated_stress
stress_1,1806_041,125,simulated_stress
stress_1,1312_0101,104,simulated_stress
stress_1,1806A0200,240,simulated_stress
stress_1,4774_0002,108,simulated_stress
stress_1,1567A0100,160,simulated_stress
stress_1,810A0400,220,simulated_stress
stress_1,786A0900,360,simulated_stress
stress_1,786A0600,84,simulated_stress
stress_1,786A0700,60,simulated_stress
stress_1,3957A0600,334,simulated_stress
stress_1,4778_0102,80,simulated_stress
stress_1,3958A0600,60,simulated_stress
stress_1,1556A0200,60,simulated_stress
stress_1,1559A0200,30,simulated_stress
stress_1,60078_0900,50,simulated_stress
stress_1,1553A0200,30,simulated_stress
stress_1,1554A0200,60,simulated_stress
stress_1,60091_011,60,simulated_stress
stress_1,4781A0100,80,simulated_stress
stress_1,342_0460,120,simulated_stress
stress_1,6774_01030,90,simulated_stress
stress_1,920A0100,20,simulated_stress
stress_1,1568_0101,100,simulated_stress
stress_1,S4_9704300,48,simulated_stress
stress_10,830D0100,216,simulated_stress
stress_10,829D0100,144,simulated_stress
stress_10,787A0100,80,simulated_stress
stress_10,1320_0101,71,simulated_stress
stress_10,831A0600,40,simulated_stress
stress_10,1806_041,50,simulated_stress
stress_10,1806D0900,100,simulated_stress
stress_10,1806_5051,100,simulated_stress
stress_10,1806A0200,120,simulated_stress
stress_10,1567A0100,320,simulated_stress
stress_10,810A0400,60,simulated_stress
stress_10,786A0900,180,simulated_stress
stress_10,786A0600,28,simulated_stress
stress_10,3958A0600,180,simulated_stress
stress_10,1556A0200,40,simulated_stress
stress_10,1559A0200,30,simulated_stress
stress_10,1555A0200,20,simulated_stress
stress_10,1553A0200,30,simulated_stress
stress_10,341_0250,90,simulated_stress
stress_10,60091_011,120,simulated_stress
stress_10,342_0460,200,simulated_stress
stress_10,6774_01030,100,simulated_stress
stress_10,6754_0481,100,simulated_stress
stress_10,3470_085,25,simulated_stress
stress_10,6753_02011,90,simulated_stress
stress_10,S4_9704411,80,simulated_stress
stress_10,918_0102,100,simulated_stress
stress_10,5450A0000,50,simulated_stress
stress_10,1568_0101,100,simulated_stress
stress_10,6724_0941,30,simulated_stress
stress_10,1964A2200,30,simulated_stress
stress_10,798_0184,10,simulated_stress
stress_10,962A0100,15,simulated_stress
stress_10,70069_23,30,simulated_stress
stress_11,830D0100,72,simulated_stress
stress_11,829D0100,72,simulated_stress
stress_11,787A0100,40,simulated_stress
stress_11,1320_0101,142,simulated_stress
stress_11,1312_0101,51,simulated_stress
stress_11,1806A0200,60,simulated_stress
stress_11,1567A0100,200,simulated_stress
stress_11,810A0400,20,simulated_stress
stress_11,786A0900,60,simulated_stress
stress_11,3445A1800,40,simulated_stress
stress_11,3957A0600,60,simulated_stress
stress_11,3958A0600,120,simulated_stress
stress_11,1386A2200,40,simulated_stress
stress_11,6896A0100,30,simulated_stress
stress_11,1556A0200,20,simulated_stress
stress_11,1555A0200,20,simulated_stress
stress_11,1553A0200,15,simulated_stress
stress_11,1554A0200,15,simulated_stress
stress_11,341_0250,45,simulated_stress
stress_11,60091_011,90,simulated_stress
stress_11,342_0460,200,simulated_stress
stress_11,6754_0481,50,simulated_stress
stress_11,3470_085,30,simulated_stress
stress_11,6753_02011,135,simulated_stress
stress_11,S4_9704411,40,simulated_stress
stress_11,918_0102,50,simulated_stress
stress_11,5450A0000,75,simulated_stress
stress_11,1568_0101,50,simulated_stress
stress_11,6724_0941,30,simulated_stress
stress_11,1964A2200,10,simulated_stress
stress_11,1642A0400,30,simulated_stress
stress_11,6724_0271,60,simulated_stress
stress_12,830D0100,72,simulated_stress
stress_12,829D0100,144,simulated_stress
stress_12,787A0100,20,simulated_stress
stress_12,1320_0101,142,simulated_stress
stress_12,831A0600,40,simulated_stress
stress_12,1806_041,25,simulated_stress
stress_12,1806D0900,100,simulated_stress
stress_12,1312_0101,102,simulated_stress
stress_12,1806A0200,40,simulated_stress
stress_12,1567A0100,120,simulated_stress
stress_12,4775_0002,36,simulated_stress
stress_12,810A0400,80,simulated_stress
stress_12,786A0900,60,simulated_stress
stress_12,786A0600,28,simulated_stress
stress_12,786A0700,30,simulated_stress
stress_12,926_0102,56,simulated_stress
stress_12,3445A1800,120,simulated_stress
stress_12,3957A0600,60,simulated_stress
stress_12,4778_0102,40,simulated_stress
stress_12,3958A0600,60,simulated_stress
stress_12,1386A2200,40,simulated_stress
stress_12,6896A0100,30,simulated_stress
stress_12,1556A0200,20,simulated_stress
stress_12,1559A0200,15,simulated_stress
stress_12,1555A0200,40,simulated_stress
stress_12,60078_0900,50,simulated_stress
stress_12,1554A0200,30,simulated_stress
stress_12,60091_011,60,simulated_stress
stress_12,342_0460,200,simulated_stress
stress_12,6754_0481,50,simulated_stress
stress_12,3470_085,30,simulated_stress
stress_12,6753_02011,90,simulated_stress
stress_12,920A0100,20,simulated_stress
stress_12,5450A0000,50,simulated_stress
stress_12,6898A0100,30,simulated_stress
stress_12,962A0100,20,simulated_stress
stress_12,S4_9704300,40,simulated_stress
stress_12,1642A0400,30,simulated_stress
stress_12,6724_0271,90,simulated_stress
stress_12,2434A2200,20,simulated_stress
stress_13,830D0100,72,simulated_stress
stress_13,829D0100,144,simulated_stress
stress_13,787A0100,60,simulated_stress
stress_13,1320_0101,213,simulated_stress
stress_13,831A0600,40,simulated_stress
stress_13,1806_041,25,simulated_stress
stress_13,1806D0900,100,simulated_stress
