work_order_id,product_id,product_name,quantity,priority,due_time,status,source_case
AERO-07_10-829D0100,829D0100,829D0100,108,0,,planned,07_10
AERO-07_10-787A0100,787A0100,787A0100,120,0,,planned,07_10
AERO-07_10-1320_0101,1320_0101,1320_0101,142,0,,planned,07_10
AERO-07_10-831A0600,831A0600,831A0600,80,0,,planned,07_10
AERO-07_10-1806_041,1806_041,1806_041,75,0,,planned,07_10
AERO-07_10-1312_0101,1312_0101,1312_0101,52,0,,planned,07_10
AERO-07_10-1806A0200,1806A0200,1806A0200,140,0,,planned,07_10
AERO-07_10-4774_0002,4774_0002,4774_0002,36,0,,planned,07_10
AERO-07_10-1567A0100,1567A0100,1567A0100,80,0,,planned,07_10
AERO-07_10-810A0400,810A0400,810A0400,100,0,,planned,07_10
AERO-07_10-786A0900,786A0900,786A0900,180,0,,planned,07_10
AERO-07_10-786A0600,786A0600,786A0600,28,0,,planned,07_10
AERO-07_10-786A0700,786A0700,786A0700,30,0,,planned,07_10
AERO-07_10-3957A0600,3957A0600,3957A0600,197,0,,planned,07_10
AERO-07_10-4778_0102,4778_0102,4778_0102,40,0,,planned,07_10
AERO-07_10-1556A0200,1556A0200,1556A0200,40,0,,planned,07_10
AERO-07_10-1559A0200,1559A0200,1559A0200,15,0,,planned,07_10
AERO-07_10-1553A0200,1553A0200,1553A0200,15,0,,planned,07_10
AERO-07_10-1554A0200,1554A0200,1554A0200,30,0,,planned,07_10
AERO-07_10-4781A0100,4781A0100,4781A0100,40,0,,planned,07_10
AERO-07_10-342_0460,342_0460,342_0460,60,0,,planned,07_10
AERO-07_10-6774_01030,6774_01030,6774_01030,45,0,,planned,07_10
AERO-07_10-920A0100,920A0100,920A0100,10,0,,planned,07_10
AERO-07_10-1568_0101,1568_0101,1568_0101,50,0,,planned,07_10
AERO-07_10-S4_9704300,S4_9704300,S4_9704300,24,0,,planned,07_10
AERO-07_11-829D0100,829D0100,829D0100,72,0,,planned,07_11
AERO-07_11-787A0100,787A0100,787A0100,100,0,,planned,07_11
AERO-07_11-1320_0101,1320_0101,1320_0101,71,0,,planned,07_11
AERO-07_11-831A0600,831A0600,831A0600,120,0,,planned,07_11
AERO-07_11-1806_041,1806_041,1806_041,50,0,,planned,07_11
AERO-07_11-1312_0101,1312_0101,1312_0101,52,0,,planned,07_11
AERO-07_11-1806A0200,1806A0200,1806A0200,100,0,,planned,07_11
AERO-07_11-4774_0002,4774_0002,4774_0002,72,0,,planned,07_11
AERO-07_11-1567A0100,1567A0100,1567A0100,80,0,,planned,07_11
AERO-07_11-810A0400,810A0400,810A0400,120,0,,planned,07_11
AERO-07_11-786A0900,786A0900,786A0900,180,0,,planned,07_11
AERO-07_11-786A0600,786A0600,786A0600,56,0,,planned,07_11
AERO-07_11-786A0700,786A0700,786A0700,30,0,,planned,07_11
AERO-07_11-3957A0600,3957A0600,3957A0600,137,0,,planned,07_11
AERO-07_11-4778_0102,4778_0102,4778_0102,40,0,,planned,07_11
AERO-07_11-3958A0600,3958A0600,3958A0600,60,0,,planned,07_11
AERO-07_11-1556A0200,1556A0200,1556A0200,20,0,,planned,07_11
AERO-07_11-1559A0200,1559A0200,1559A0200,15,0,,planned,07_11
AERO-07_11-60078_0900,60078_0900,60078_0900,50,0,,planned,07_11
AERO-07_11-1553A0200,1553A0200,1553A0200,15,0,,planned,07_11
AERO-07_11-1554A0200,1554A0200,1554A0200,30,0,,planned,07_11
AERO-07_11-60091_011,60091_011,60091_011,60,0,,planned,07_11
AERO-07_11-4781A0100,4781A0100,4781A0100,40,0,,planned,07_11
AERO-07_11-342_0460,342_0460,342_0460,60,0,,planned,07_11
AERO-07_11-6774_01030,6774_01030,6774_01030,45,0,,planned,07_11
AERO-07_11-920A0100,920A0100,920A0100,10,0,,planned,07_11
AERO-07_11-1568_0101,1568_0101,1568_0101,50,0,,planned,07_11
AERO-07_11-S4_9704300,S4_9704300,S4_9704300,24,0,,planned,07_11
AERO-07_12-829D0100,829D0100,829D0100,144,0,,planned,07_12
AERO-07_12-787A0100,787A0100,787A0100,80,0,,planned,07_12
AERO-07_12-1320_0101,1320_0101,1320_0101,71,0,,planned,07_12
AERO-07_12-831A0600,831A0600,831A0600,60,0,,planned,07_12
AERO-07_12-1806_041,1806_041,1806_041,25,0,,planned,07_12
