AVAILABLE QUANTITY OF ITEM: 1271
QTD OF MANUFACTURED PIECES: 1271
ELAPSED TIME:  1998.18
OBJ. FUNCTION VALUE: 35.0
STARTS: 35
1 IF OPTIMAL SOLUTION: ModelStatus.OptimalGlobal

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K2;1;1806A0200;2
1;K2;2;1806A0200;2
1;K2;3;1806A0200;2
2;K1;1;1567A0100;6
2;K1;2;830D0100;12
2;K1;3;1567A0100;4
2;K1;4;787A0100;3
2;K1;5;787A0100;3
2;K1;6;1964A2200;8
2;K2;1;810A0400;12
2;K2;2;831A0600;10
2;K2;3;831A0600;10
3;K1;1;3470_085;6
3;K1;2;1806D0900;40
3;K1;3;1806D0900;60
3;K1;4;3470_028;6
3;K1;5;6754_0481;12
3;K1;6;6724_0941;12
3;K1;7;3957A0600;24
3;K2;1;3470_085;6
3;K2;2;3470_028;6
3;K2;3;3445A1800;6
4;K1;1;1567A0100;6
4;K1;2;4778_0102;8
4;K1;3;1567A0100;6
4;K1;4;1964A2200;8
4;K1;5;1964A2200;8
4;K2;1;831A0600;10
4;K2;2;6896A0100;12
4;K2;3;831A0600;10
5;K1;1;830D0100;12
5;K1;2;830D0100;12
5;K1;3;810A0400;12
5;K1;4;1556A0200;8
5;K1;5;830D0100;12
5;K2;1;6724_0941;12
5;K2;2;3470_028;6
5;K2;3;3470_028;6
6;K1;1;342_0460;8
6;K1;2;3470_085;6
6;K1;3;3470_028;6
6;K1;4;6754_0481;2
6;K1;5;3470_085;6
6;K1;6;3470_028;6
6;K1;7;3470_028;6
6;K2;1;3445A1800;6
6;K2;2;3445A1800;6
6;K2;3;342_0460;12
6;K2;4;3445A1800;6
7;K1;1;926_0102;2
7;K1;2;786A0700;6
7;K1;3;926_0102;12
7;K1;4;786A0700;8
7;K1;5;786A0700;8
7;K2;1;1806A0200;2
7;K2;2;1806A0200;2
7;K2;3;1806A0200;2
8;K1;1;3957A0600;6
8;K1;2;3958A0600;24
8;K1;3;3958A0600;24
8;K1;4;3958A0600;12
8;K1;5;6754_0481;12
8;K2;1;798_0184;5
8;K2;2;6754_0481;12
8;K2;3;3470_085;6
9;K1;1;810A0400;12
9;K1;2;810A0400;4
9;K1;3;810A0400;12
9;K1;4;830D0100;12
9;K1;5;4778_0102;8
9;K2;1;3470_085;6
9;K2;2;3470_085;6
9;K2;3;798_0184;5
10;K1;1;926_0102;12
10;K1;2;786A0700;8
10;K1;3;926_0102;12
10;K1;4;926_0102;12
10;K1;5;1806A0200;2
10;K2;1;787A0100;3
10;K2;2;4775_0002;12
11;K1;1;810A0400;12
11;K1;2;1555A0200;11
11;K1;3;6896A0100;6
11;K1;4;830D0100;12
11;K1;5;1554A0200;8
11;K2;1;6724_0941;12
11;K2;2;3470_028;6
11;K2;3;798_0184;5
12;K1;1;S4_9704300;6
12;K1;2;S4_9704300;6
12;K1;3;S4_9704300;6
12;K1;4;S4_9704300;6
12;K1;5;S4_9704300;3
12;K1;6;S4_9704300;6
12;K1;7;S4_9704300;6
12;K2;1;3470_028;6
12;K2;2;3445A1800;6
12;K2;3;3470_028;6
13;K1;1;1554A0200;8
13;K1;2;787A0100;2
13;K1;3;810A0400;12
13;K1;4;4778_0102;8
13;K1;5;830D0100;12
13;K2;1;798_0184;2
13;K2;2;3470_085;6
13;K2;3;6754_0481;12
14;K1;1;830D0100;12
14;K1;2;810A0400;12
14;K1;3;4775_0002;12
14;K1;4;830D0100;12
14;K1;5;4778_0102;8
14;K2;1;1806A0200;2
14;K2;2;1806A0200;2
14;K2;3;1806A0200;2
15;K1;1;830D0100;12
15;K1;2;787A0100;3
15;K1;3;787A0100;3
15;K1;4;1567A0100;6
15;K1;5;1567A0100;6
15;K1;6;4778_0102;8
15;K2;1;1556A0200;12
15;K2;2;1553A0200;6
16;K1;1;2434A2200;6
16;K1;2;830D0100;12
16;K1;3;810A0400;12
16;K1;4;1553A0200;12
16;K1;5;1554A0200;8
16;K2;1;831A0600;10
16;K2;2;831A0600;10
16;K2;3;6896A0100;12
17;K1;1;787A0100;3
17;K1;2;1964A2200;8
17;K1;3;1554A0200;5
17;K1;4;2434A2200;2
17;K1;5;4775_0002;12
17;K2;1;3470_085;6
17;K2;2;3470_085;6
17;K2;3;6724_0941;4
18;K1;1;2434A2200;6
18;K1;2;830D0100;12
18;K1;3;1554A0200;8
18;K1;4;2434A2200;6
18;K1;5;1554A0200;8
19;K1;1;1964A2200;8
19;K1;2;1567A0100;6
19;K1;3;831A0600;10
19;K1;4;1553A0200;12
19;K1;5;831A0600;10
19;K1;6;1555A0200;9
END
