AVAILABLE QUANTITY OF ITEM: 2002
QTD OF MANUFACTURED PIECES: 2002
ELAPSED TIME:  3607.35
OBJ. FUNCTION VALUE: 54.0
STARTS: 54
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
2;K1;1;2434A2200;6
2;K1;2;1964A2200;2
2;K1;3;4775_0002;12
2;K1;4;787A0100;3
2;K1;5;4775_0002;12
2;K2;1;1642A0400;2
2;K2;2;1642A0400;6
3;K1;1;1312_0101;24
3;K1;2;6753_02011;12
3;K1;3;1320_0101;23
3;K1;4;60091_011;12
3;K1;5;6774_01030;12
3;K1;6;1806_5051;10
3;K2;1;341_0250;12
3;K2;2;1806_5051;10
3;K2;3;1806_5051;10
4;K1;1;1559A0200;4
4;K1;2;1559A0200;12
4;K1;3;1554A0200;6
4;K1;4;1555A0200;12
4;K1;5;829D0100;11
4;K2;1;1806A0200;2
4;K2;2;1806A0200;2
4;K2;3;1806A0200;2
5;K1;1;830D0100;12
5;K1;2;1556A0200;12
5;K1;3;1555A0200;12
5;K1;4;1555A0200;2
5;K1;5;1567A0100;6
5;K2;1;831A0600;10
5;K2;2;787A0100;3
5;K2;3;831A0600;10
6;K1;1;1567A0100;6
6;K1;2;2434A2200;2
6;K1;3;1556A0200;12
6;K1;4;4775_0002;12
6;K1;5;1567A0100;6
6;K1;6;1567A0100;6
6;K2;1;1806A0200;2
6;K2;2;1806A0200;2
6;K2;3;1806A0200;2
7;K1;1;6753_02011;12
7;K1;2;6864_0280;4
7;K1;3;1312_0101;24
7;K1;4;6774_01030;12
7;K1;5;962A0100;6
7;K1;6;60091_011;12
7;K2;1;1806A0200;2
7;K2;2;1806A0200;2
7;K2;3;1806A0200;2
8;K1;1;1312_0101;24
8;K1;2;341_0250;12
8;K1;3;60078_0900;12
8;K1;4;6753_02011;12
8;K1;5;962A0100;6
8;K1;6;341_0250;12
8;K2;1;1806A0200;2
8;K2;2;1806A0200;2
8;K2;3;1806A0200;2
9;K1;1;830D0100;12
9;K1;2;1567A0100;6
9;K1;3;1567A0100;6
9;K1;4;1567A0100;6
9;K1;5;1553A0200;6
9;K1;6;1386A2200;12
9;K2;1;831A0600;10
9;K2;2;831A0600;10
9;K2;3;831A0600;10
9;K2;4;831A0600;10
10;K1;1;1567A0100;6
10;K1;2;1559A0200;12
10;K1;3;1567A0100;6
10;K1;4;830D0100;12
10;K1;5;1386A2200;8
10;K2;1;1806A0200;2
10;K2;2;1806A0200;2
10;K2;3;1806A0200;2
11;K1;1;830D0100;12
11;K1;2;1553A0200;12
11;K1;3;830D0100;12
11;K1;4;829D0100;12
11;K1;5;1386A2200;12
11;K2;1;1642A0400;6
11;K2;2;1642A0400;6
11;K2;3;1642A0400;6
12;K1;1;1320_0101;24
12;K1;2;1320_0101;24
12;K1;3;3957A0600;24
12;K1;4;962A0100;6
12;K1;5;3957A0600;24
12;K2;1;1806A0200;2
12;K2;2;1806A0200;2
12;K2;3;1806A0200;2
13;K1;1;1806A0800;12
13;K1;2;962A0100;6
13;K1;3;6753_02011;12
13;K1;4;6753_02011;12
13;K1;5;1806A0800;12
13;K1;6;3957A0600;24
13;K2;1;1806_5051;10
13;K2;2;1806_5051;10
13;K2;3;798_0184;5
14;K1;1;6753_02011;12
14;K1;2;1806A0800;4
14;K1;3;1806_5051;10
14;K1;4;1806_5051;10
14;K1;5;962A0100;6
14;K1;6;3470_085;6
14;K2;1;1642A0400;6
14;K2;2;1642A0400;6
14;K2;3;1642A0400;6
15;K1;1;1553A0200;12
15;K1;2;1554A0200;8
15;K1;3;1554A0200;8
15;K1;4;1567A0100;2
15;K1;5;1386A2200;12
15;K2;1;341_0250;12
15;K2;2;798_0184;5
15;K2;3;1806_5051;10
16;K1;1;1568_0101;16
16;K1;2;3470_085;6
16;K1;3;6774_01030;12
16;K1;4;3470_085;6
16;K1;5;1312_0101;20
16;K1;6;6864_0280;3
16;K2;1;1806A0200;2
16;K2;2;1806A0200;2
16;K2;3;1806A0200;2
17;K1;1;1386A2200;12
17;K1;2;787A0100;3
17;K1;3;1567A0100;6
17;K1;4;1567A0100;6
17;K1;5;787A0100;3
17;K1;6;1567A0100;6
17;K1;7;1567A0100;6
17;K2;1;1806A0200;2
17;K2;2;1806A0200;2
17;K2;3;1806A0200;2
18;K1;1;1806A0800;12
18;K1;2;3470_085;6
18;K1;3;341_0250;6
18;K1;4;3958A0600;6
18;K1;5;6774_01030;12
18;K1;6;6774_01030;12
18;K2;1;831A0600;10
18;K2;2;831A0600;10
18;K2;3;831A0600;10
18;K2;4;831A0600;10
19;K1;1;786A0600;3
19;K1;2;786A0600;2
19;K1;3;786A0600;3
19;K1;4;786A0600;3
19;K1;5;786A0700;6
19;K1;6;786A0600;3
19;K2;1;787A0100;2
19;K2;2;787A0100;3
20;K1;1;786A0600;3
20;K1;2;786A0700;8
20;K1;3;786A0700;8
20;K1;4;786A0600;3
20;K1;5;786A0700;8
20;K2;1;1806_5051;10
20;K2;2;6774_01030;12
20;K2;3;6753_02011;4
21;K1;1;341_0250;12
21;K1;2;3958A0600;24
21;K1;3;6774_01030;12
21;K1;4;1806A0800;12
21;K1;5;6774_01030;4
21;K1;6;962A0100;6
21;K2;1;1642A0400;6
21;K2;2;1642A0400;6
21;K2;3;1642A0400;6
22;K1;1;829D0100;12
22;K1;2;787A0100;3
22;K1;3;1964A2200;8
22;K1;4;1554A0200;8
22;K1;5;2434A2200;6
22;K2;1;1806A0200;2
22;K2;2;1806A0200;2
22;K2;3;1806A0200;2
23;K1;1;6753_02011;12
23;K1;2;60091_011;12
23;K1;3;1394_0101;12
23;K1;4;1806A0800;12
23;K1;5;1568_0101;24
23;K1;6;3470_085;6
23;K2;1;1642A0400;6
23;K2;2;1642A0400;6
23;K2;3;1642A0400;6
24;K1;1;6774_01030;12
24;K1;2;6864_0280;4
24;K1;3;341_0250;12
24;K1;4;6753_02011;12
24;K1;5;1394_0101;24
24;K1;6;1394_0101;24
24;K2;1;831A0600;10
24;K2;2;831A0600;10
24;K2;3;831A0600;10
24;K2;4;831A0600;10
25;K1;1;3957A0600;24
25;K1;2;1806A0800;12
25;K1;3;60091_011;12
25;K1;4;1806A0800;12
25;K1;5;3957A0600;18
25;K1;6;60091_011;12
25;K2;1;1806_5051;10
25;K2;2;341_0250;12
25;K2;3;1806A0800;12
26;K1;1;786A0600;3
26;K1;2;786A0600;3
26;K1;3;786A0600;3
26;K1;4;786A0600;3
26;K1;5;1806A0200;2
26;K1;6;786A0600;3
26;K2;1;830D0100;12
26;K2;2;831A0600;10
26;K2;3;831A0600;10
27;K1;1;1556A0200;12
27;K1;2;2434A2200;6
27;K1;3;1559A0200;12
27;K1;4;1556A0200;4
27;K1;5;1555A0200;12
27;K2;1;60078_0900;12
27;K2;2;798_0184;5
27;K2;3;798_0184;5
28;K1;1;786A0600;3
28;K1;2;786A0600;3
28;K1;3;786A0600;3
28;K1;4;786A0600;3
28;K1;5;786A0600;3
28;K1;6;786A0600;3
28;K1;7;786A0600;3
28;K2;1;1312_0101;12
28;K2;2;60078_0900;12
28;K2;3;60078_0900;11
END
