AVAILABLE QUANTITY OF ITEM: 918
QTD OF MANUFACTURED PIECES: 918
ELAPSED TIME:   326.26
OBJ. FUNCTION VALUE: 31.0
STARTS: 31
1 IF OPTIMAL SOLUTION: ModelStatus.OptimalGlobal

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
2;K1;1;4778_0102;8
2;K1;2;787A0100;3
2;K1;3;787A0100;2
2;K1;4;1386A2200;12
2;K1;5;4774_0002;12
2;K1;6;831A0600;10
2;K2;1;60078_0900;11
2;K2;2;342_0460;12
2;K2;3;1312_0101;24
3;K1;1;787A0100;3
3;K1;2;831A0600;10
3;K1;3;1386A2200;12
3;K1;4;1567A0100;4
3;K1;5;4778_0102;8
3;K1;6;1554A0200;5
3;K2;1;1806A0200;2
3;K2;2;1806A0200;2
3;K2;3;1806A0200;2
4;K1;1;4778_0102;8
4;K1;2;1554A0200;8
4;K1;3;810A0400;12
4;K1;4;4774_0002;12
4;K1;5;1559A0200;4
4;K2;1;1806A0200;2
4;K2;2;1806A0200;2
4;K2;3;1806A0200;2
5;K1;1;6754_0481;11
5;K1;2;70069_23;6
5;K1;3;6774_01030;6
5;K1;4;6774_01030;12
5;K1;5;3470_028;6
5;K1;6;1312_0101;4
5;K2;1;342_0460;12
5;K2;2;60078_0900;1
5;K2;3;60078_0900;12
5;K2;4;342_0460;11
6;K1;1;810A0400;12
6;K1;2;787A0100;3
6;K1;3;1556A0200;12
6;K1;4;831A0600;10
6;K1;5;4778_0102;8
6;K1;6;1567A0100;6
6;K2;1;1806A0200;2
6;K2;2;1806A0200;2
6;K2;3;1806A0200;2
7;K1;1;3470_028;6
7;K1;2;3470_028;6
7;K1;3;6754_0481;12
7;K1;4;962A0100;6
7;K1;5;6774_01030;12
7;K1;6;1394_0101;24
7;K2;1;1806A0200;2
7;K2;2;786A0700;6
8;K1;1;1554A0200;8
8;K1;2;1567A0100;6
8;K1;3;S4_9704411;6
8;K1;4;787A0100;3
8;K1;5;810A0400;12
8;K1;6;1559A0200;12
8;K2;1;60078_0900;12
8;K2;2;60078_0900;12
8;K2;3;342_0460;12
8;K2;4;342_0460;1
9;K1;1;810A0400;12
9;K1;2;1567A0100;6
9;K1;3;1567A0100;6
9;K1;4;S4_9704411;5
9;K1;5;1567A0100;6
9;K1;6;920A0100;8
9;K1;7;S4_9704411;6
9;K2;1;1806A0200;2
9;K2;2;1806A0200;2
9;K2;3;1806A0200;2
10;K1;1;786A0700;8
10;K1;2;786A0600;1
10;K1;3;786A0600;3
10;K1;4;786A0600;3
10;K1;5;786A0700;8
10;K1;6;1806A0200;2
10;K2;1;1806A0200;2
10;K2;2;1806A0200;2
10;K2;3;1806A0200;2
11;K1;1;962A0100;3
11;K1;2;70069_23;12
11;K1;3;6754_0481;12
11;K1;4;962A0100;6
11;K1;5;3470_028;6
11;K2;1;1806A0200;2
11;K2;2;1806A0200;2
11;K2;3;1806A0200;2
12;K1;1;4774_0002;6
12;K1;2;4778_0102;8
12;K1;3;1556A0200;8
12;K1;4;4778_0102;8
12;K1;5;1559A0200;12
12;K2;1;1806A0200;2
12;K2;2;1806A0200;2
12;K2;3;1806A0200;2
13;K1;1;786A0600;3
13;K1;2;786A0600;3
13;K1;3;786A0600;3
13;K1;4;786A0600;3
13;K1;5;786A0600;3
13;K1;6;786A0600;3
13;K1;7;786A0600;3
13;K2;1;342_0460;12
13;K2;2;3470_028;1
13;K2;3;60078_0900;12
14;K1;1;70069_23;12
14;K1;2;6754_0481;12
14;K1;3;1312_0101;24
14;K1;4;70069_23;12
14;K1;5;1394_0101;6
14;K2;1;1806A0200;2
14;K2;2;1806A0200;2
14;K2;3;1806A0200;2
15;K1;1;S4_9704411;6
15;K1;2;787A0100;3
15;K1;3;1559A0200;12
15;K1;4;1554A0200;8
15;K1;5;831A0600;10
15;K1;6;4778_0102;8
15;K2;1;786A0700;8
15;K2;2;1806A0200;2
16;K1;1;810A0400;12
16;K1;2;4778_0102;8
16;K1;3;1554A0200;8
16;K1;4;1386A2200;12
16;K1;5;4778_0102;1
16;K2;1;1806A0200;2
16;K2;2;1806A0200;2
16;K2;3;1806A0200;2
17;K1;1;1554A0200;8
17;K1;2;S4_9704411;6
17;K1;3;787A0100;3
17;K1;4;1386A2200;4
17;K1;5;920A0100;2
17;K1;6;1567A0100;6
END
