AVAILABLE QUANTITY OF ITEM: 3496
QTD OF MANUFACTURED PIECES: 3495
ELAPSED TIME:  3602.93
OBJ. FUNCTION VALUE: 123.0
STARTS: 122
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K2;1;1806A0200;2
1;K2;2;1806A0200;2
1;K2;3;1806A0200;2
2;K1;1;S4_9704300;6
2;K1;2;S4_9704300;6
2;K1;3;S4_9704300;6
2;K1;4;S4_9704300;6
2;K1;5;S4_9704300;6
2;K1;6;S4_9704300;6
2;K1;7;S4_9704300;6
2;K1;8;S4_9704300;6
2;K2;1;1806A0200;2
2;K2;2;1806A0200;2
2;K2;3;1806A0200;2
3;K1;1;1559A0200;6
3;K1;2;829D0100;12
3;K1;3;1554A0200;8
3;K1;4;1556A0200;12
3;K1;5;4781A0100;8
3;K2;1;1806A0200;2
3;K2;2;1806A0200;2
3;K2;3;1806A0200;2
4;K1;1;1806_041;2
4;K1;2;1806_041;2
4;K1;3;1806_041;2
4;K1;4;1806_041;2
4;K1;5;1806_041;2
4;K1;6;1806_041;1
4;K2;1;786A0900;6
4;K2;2;786A0900;6
4;K2;3;786A0900;6
4;K2;4;786A0900;6
5;K1;1;1553A0200;6
5;K1;2;787A0100;3
5;K1;3;4781A0100;8
5;K1;4;787A0100;3
5;K1;5;786A0900;6
5;K1;6;1554A0200;4
5;K2;1;1567A0100;6
5;K2;2;787A0100;3
5;K2;3;787A0100;3
6;K1;1;4778_0102;8
6;K1;2;829D0100;12
6;K1;3;787A0100;3
6;K1;4;786A0900;6
6;K1;5;786A0900;6
6;K1;6;786A0900;6
6;K2;1;1806A0200;2
6;K2;2;1806A0200;2
6;K2;3;1806A0200;2
7;K1;1;1806_041;2
7;K1;2;1806_041;2
7;K1;3;1806_041;2
7;K1;4;1806_041;2
7;K1;5;1806_041;2
7;K1;6;1806_041;2
7;K2;1;1806A0200;2
7;K2;2;1806A0200;2
7;K2;3;1806A0200;2
8;K1;1;1806_041;2
8;K1;2;1806_041;2
8;K1;3;1806_041;2
8;K1;4;1806_041;2
8;K1;5;1806_041;2
8;K1;6;1806_041;2
8;K2;1;1806A0200;2
8;K2;2;1806A0200;2
8;K2;3;1806A0200;2
9;K1;1;1312_0101;24
9;K1;2;1806_041;2
9;K1;3;60091_011;12
9;K1;4;60091_011;12
9;K1;5;1806_041;2
9;K1;6;1806_041;2
9;K2;1;1806A0200;2
9;K2;2;1806A0200;2
9;K2;3;1806A0200;2
10;K1;1;786A0600;3
10;K1;2;786A0600;3
10;K1;3;786A0600;3
10;K1;4;786A0600;3
10;K1;5;786A0600;3
10;K1;6;786A0600;3
10;K1;7;786A0600;3
10;K2;1;3957A0600;22
10;K2;2;3957A0600;24
11;K1;1;787A0100;3
11;K1;2;1567A0100;6
11;K1;3;787A0100;3
11;K1;4;787A0100;3
11;K1;5;786A0900;6
11;K1;6;810A0400;12
11;K1;7;1567A0100;6
11;K2;1;787A0100;3
11;K2;2;831A0600;10
11;K2;3;786A0900;6
12;K1;1;810A0400;12
12;K1;2;787A0100;3
12;K1;3;787A0100;3
12;K1;4;4781A0100;8
12;K1;5;786A0900;6
12;K1;6;810A0400;12
12;K2;1;342_0460;12
12;K2;2;60078_0900;12
12;K2;3;1806_041;2
13;K1;1;787A0100;3
13;K1;2;1567A0100;6
13;K1;3;787A0100;3
13;K1;4;1567A0100;6
13;K1;5;810A0400;12
13;K1;6;786A0900;6
13;K1;7;787A0100;3
13;K2;1;1806A0200;2
13;K2;2;1806A0200;2
13;K2;3;1806A0200;2
14;K1;1;786A0600;3
14;K1;2;786A0700;8
14;K1;3;786A0700;8
14;K1;4;786A0700;8
14;K1;5;786A0600;3
14;K2;1;1806A0200;2
14;K2;2;1806A0200;2
14;K2;3;1806A0200;2
15;K1;1;786A0900;6
15;K1;2;829D0100;12
15;K1;3;787A0100;3
15;K1;4;4781A0100;8
15;K1;5;787A0100;3
15;K1;6;1554A0200;8
15;K2;1;1806A0200;2
15;K2;2;1806A0200;2
15;K2;3;1806A0200;2
16;K1;1;1567A0100;6
16;K1;2;4774_0002;12
