AVAILABLE QUANTITY OF ITEM: 918
QTD OF MANUFACTURED PIECES: 918
ELAPSED TIME:   234.45
OBJ. FUNCTION VALUE: 31.0
STARTS: 31
1 IF OPTIMAL SOLUTION: ModelStatus.OptimalGlobal

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
2;K1;1;786A0600;3
2;K1;2;786A0700;8
2;K1;3;786A0700;6
2;K1;4;786A0600;3
2;K1;5;786A0600;3
2;K1;6;786A0600;1
2;K2;1;1806A0200;1
2;K2;2;1806A0200;2
2;K2;3;1806A0200;1
3;K1;1;4778_0102;8
3;K1;2;787A0100;3
3;K1;3;787A0100;3
3;K1;4;1554A0200;5
3;K1;5;4774_0002;12
3;K1;6;S4_9704411;6
3;K2;1;1806A0200;2
3;K2;2;1806A0200;2
3;K2;3;1806A0200;2
4;K1;1;6754_0481;12
4;K1;2;3470_028;6
4;K1;3;1394_0101;24
4;K1;4;6774_01030;12
4;K1;5;6754_0481;12
4;K1;6;1394_0101;6
4;K2;1;1806A0200;2
4;K2;2;1806A0200;2
4;K2;3;1806A0200;2
5;K1;1;962A0100;3
5;K1;2;3470_028;6
5;K1;3;962A0100;6
5;K1;4;3470_028;6
5;K1;5;3470_028;1
5;K1;6;3470_028;6
5;K2;1;1806A0200;2
5;K2;2;1806A0200;2
5;K2;3;1806A0200;2
6;K1;1;4778_0102;8
6;K1;2;4778_0102;8
6;K1;3;1386A2200;12
6;K1;4;4778_0102;8
6;K1;5;810A0400;12
6;K2;1;1386A2200;12
6;K2;2;831A0600;10
7;K1;1;786A0600;3
7;K1;2;786A0600;3
7;K1;3;786A0700;8
7;K1;4;786A0700;8
7;K1;5;1806A0200;2
7;K1;6;786A0600;3
7;K2;1;1806A0200;2
7;K2;2;1806A0200;2
7;K2;3;1806A0200;2
8;K1;1;1556A0200;12
8;K1;2;1554A0200;8
8;K1;3;4778_0102;8
8;K1;4;1559A0200;12
8;K1;5;1559A0200;4
8;K2;1;1806A0200;2
8;K2;2;1806A0200;2
8;K2;3;1806A0200;2
9;K1;1;1567A0100;6
9;K1;2;S4_9704411;5
9;K1;3;S4_9704411;6
9;K1;4;787A0100;3
9;K1;5;1554A0200;8
9;K1;6;920A0100;2
9;K2;1;1806A0200;2
9;K2;2;1806A0200;2
9;K2;3;1806A0200;2
10;K1;1;6754_0481;11
10;K1;2;6754_0481;12
10;K1;3;6774_01030;12
10;K1;4;962A0100;6
10;K1;5;6774_01030;6
10;K1;6;1312_0101;24
10;K2;1;1806A0200;2
10;K2;2;1806A0200;2
10;K2;3;1806A0200;2
11;K1;1;4778_0102;8
11;K1;2;1386A2200;12
11;K1;3;1554A0200;8
11;K1;4;4774_0002;12
11;K1;5;787A0100;3
11;K2;1;1312_0101;24
11;K2;2;60078_0900;12
11;K2;3;60078_0900;12
12;K1;1;810A0400;12
12;K1;2;831A0600;10
12;K1;3;1567A0100;6
12;K1;4;1567A0100;6
12;K1;5;S4_9704411;6
12;K1;6;1567A0100;6
12;K1;7;1556A0200;8
12;K2;1;787A0100;3
12;K2;2;831A0600;10
12;K2;3;1567A0100;6
13;K1;1;1559A0200;12
13;K1;2;787A0100;3
13;K1;3;810A0400;12
13;K1;4;1567A0100;6
13;K1;5;810A0400;12
13;K1;6;1567A0100;4
13;K2;1;342_0460;12
13;K2;2;60078_0900;12
13;K2;3;342_0460;12
13;K2;4;60078_0900;12
14;K1;1;70069_23;12
14;K1;2;1312_0101;4
14;K1;3;70069_23;12
14;K1;4;70069_23;12
14;K1;5;70069_23;6
14;K2;1;342_0460;12
14;K2;2;342_0460;12
14;K2;3;60078_0900;12
14;K2;4;342_0460;12
15;K1;1;1386A2200;4
15;K1;2;4778_0102;8
15;K1;3;1554A0200;8
15;K1;4;1559A0200;12
15;K1;5;4774_0002;6
15;K2;1;1554A0200;8
15;K2;2;4778_0102;8
16;K1;1;787A0100;2
16;K1;2;810A0400;12
16;K1;3;S4_9704411;6
16;K1;4;920A0100;8
16;K1;5;4778_0102;1
16;K1;6;831A0600;10
16;K2;1;1806A0200;2
16;K2;2;1806A0200;2
16;K2;3;1806A0200;2
17;K1;1;1806A0200;2
17;K1;2;786A0600;3
17;K1;3;786A0600;3
17;K1;4;1806A0200;2
17;K1;5;786A0600;3
17;K1;6;1806A0200;2
END
