AVAILABLE QUANTITY OF ITEM: 2002
QTD OF MANUFACTURED PIECES: 2002
ELAPSED TIME:   601.66
OBJ. FUNCTION VALUE: 59.0
STARTS: 59
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
2;K1;1;1567A0100;6
2;K1;2;1556A0200;4
2;K1;3;1567A0100;6
2;K1;4;787A0100;3
2;K1;5;1567A0100;6
2;K1;6;1567A0100;6
2;K1;7;1567A0100;6
2;K2;1;1806A0200;2
2;K2;2;1806A0200;2
2;K2;3;1806A0200;2
3;K1;1;6774_01030;12
3;K1;2;6753_02011;12
3;K1;3;1320_0101;23
3;K1;4;60091_011;12
3;K1;5;962A0100;6
3;K1;6;1806_5051;10
3;K2;1;831A0600;10
3;K2;2;831A0600;10
3;K2;3;831A0600;10
4;K1;1;1556A0200;12
4;K1;2;1559A0200;12
4;K1;3;829D0100;11
4;K1;4;1555A0200;12
4;K1;5;829D0100;12
4;K2;1;1806A0200;2
4;K2;2;1806A0200;2
5;K1;1;1312_0101;24
5;K1;2;60091_011;12
5;K1;3;3470_085;6
5;K1;4;341_0250;12
5;K1;5;1806_5051;10
5;K1;6;1312_0101;24
5;K2;1;3958A0600;6
5;K2;2;1806_5051;10
6;K1;1;1567A0100;6
6;K1;2;2434A2200;6
6;K1;3;787A0100;2
6;K1;4;787A0100;3
6;K1;5;787A0100;3
6;K1;6;1567A0100;2
6;K2;1;1806A0200;2
7;K1;1;1386A2200;12
7;K1;2;1567A0100;6
7;K1;3;1567A0100;6
7;K1;4;1567A0100;6
7;K1;5;1554A0200;8
7;K1;6;1567A0100;6
7;K2;1;1642A0400;6
8;K1;1;1555A0200;12
8;K1;2;1553A0200;12
8;K1;3;1386A2200;12
8;K1;4;1553A0200;12
8;K1;5;830D0100;12
8;K2;1;1642A0400;6
8;K2;2;1642A0400;6
8;K2;3;1642A0400;6
9;K1;1;1806_5051;10
9;K1;2;3957A0600;24
9;K1;3;3957A0600;24
