AVAILABLE QUANTITY OF ITEM: 2330
QTD OF MANUFACTURED PIECES: 2330
ELAPSED TIME:   601.62
OBJ. FUNCTION VALUE: 75.0
STARTS: 75
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
2;K1;1;S4_9704300;6
2;K1;2;S4_9704300;6
2;K1;3;S4_9704300;6
2;K1;4;S4_9704300;6
2;K2;1;60078_0900;12
2;K2;2;3445A1800;6
2;K2;3;342_0460;12
2;K2;4;3445A1800;6
3;K1;1;1555A0200;12
3;K1;2;6898A0100;12
3;K1;3;4778_0102;8
3;K1;4;829D0100;12
3;K1;5;1554A0200;8
3;K2;1;3445A1800;6
3;K2;2;962A0100;2
3;K2;3;342_0460;12
4;K1;1;6898A0100;12
4;K1;2;829D0100;12
4;K1;3;1556A0200;12
4;K2;1;786A0900;6
4;K2;2;786A0900;6
4;K2;3;1555A0200;12
5;K1;1;1567A0100;6
5;K1;2;810A0400;12
5;K1;3;830D0100;12
5;K1;4;810A0400;8
5;K1;5;1567A0100;6
5;K1;6;5450A0000;2
5;K2;1;60078_0900;12
5;K2;2;3445A1800;6
5;K2;3;3957A0600;12
6;K1;1;S4_9704300;6
6;K2;1;3445A1800;6
6;K2;2;3957A0600;24
6;K2;3;60078_0900;12
7;K1;1;926_0102;12
7;K1;2;786A0600;1
7;K2;1;786A0600;3
7;K2;2;786A0700;1
8;K1;1;810A0400;12
8;K1;2;810A0400;12
8;K1;3;1559A0200;12
8;K1;4;1555A0200;12
8;K1;5;829D0100;12
8;K2;1;831A0600;1
8;K2;2;4778_0102;8
9;K1;1;S4_9704300;6
9;K2;1;1806A0200;2
10;K1;1;1642A0400;6
10;K1;2;1642A0400;6
10;K2;1;786A0700;8
10;K2;2;1806A0200;2
11;K1;1;1806_041;2
11;K1;2;1806_041;2
11;K1;3;1806_041;2
11;K1;4;6753_02011;12
11;K1;5;1806_041;2
11;K1;6;3470_085;6
