AVAILABLE QUANTITY OF ITEM: 3095
QTD OF MANUFACTURED PIECES: 3095
ELAPSED TIME: 10834.23
OBJ. FUNCTION VALUE: 90.0
STARTS: 90
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K1;1;4778_0102;8
1;K1;2;1964A2200;2
1;K1;3;4778_0102;8
1;K1;4;4781A0100;8
1;K1;5;787A0100;3
1;K2;1;6754_0481;4
1;K2;2;60091_011;12
2;K1;1;786A0600;3
2;K1;2;786A0600;3
2;K1;3;1806A0200;2
2;K1;4;786A0700;8
2;K1;5;786A0600;3
2;K1;6;786A0600;3
2;K2;1;786A0900;6
2;K2;2;831A0600;10
2;K2;3;786A0900;6
2;K2;4;786A0900;6
3;K1;1;1553A0200;12
3;K1;2;2434A2200;4
3;K1;3;1555A0200;12
3;K1;4;1553A0200;12
3;K1;5;1554A0200;8
3;K2;1;831A0600;10
3;K2;2;786A0900;6
3;K2;3;786A0900;6
3;K2;4;786A0900;6
4;K1;1;830D0100;12
4;K1;2;920A0100;4
4;K1;3;1555A0200;12
4;K1;4;1559A0200;6
4;K1;5;830D0100;12
4;K2;1;1806A0200;2
4;K2;2;1806A0200;2
4;K2;3;1806A0200;2
5;K1;1;1559A0200;12
5;K1;2;4778_0102;8
5;K1;3;787A0100;3
5;K1;4;829D0100;12
5;K1;5;2434A2200;6
5;K2;1;831A0600;10
5;K2;2;786A0900;6
5;K2;3;786A0900;6
5;K2;4;831A0600;10
6;K1;1;786A0700;8
6;K1;2;786A0600;3
6;K1;3;786A0600;3
6;K1;4;786A0600;3
6;K1;5;786A0600;3
6;K1;6;786A0700;8
6;K2;1;3470_085;6
6;K2;2;798_0184;5
6;K2;3;798_0184;5
7;K1;1;1806A0200;2
7;K1;2;786A0700;4
7;K1;3;786A0600;3
7;K1;4;786A0600;3
7;K1;5;786A0700;8
7;K1;6;786A0600;3
7;K2;1;1806A0200;2
7;K2;2;1806A0200;2
7;K2;3;1806A0200;2
8;K1;1;1806_041;2
8;K1;2;3470_028;6
8;K1;3;1806_041;2
8;K1;4;1312_0101;24
8;K1;5;1806_041;2
8;K1;6;3470_085;6
8;K2;1;786A0900;6
8;K2;2;786A0900;6
8;K2;3;786A0900;6
8;K2;4;786A0900;6
9;K1;1;1806_041;2
9;K1;2;1806_041;2
9;K1;3;1394_0101;12
9;K1;4;3470_085;6
9;K1;5;1806_041;2
9;K1;6;6754_0481;12
9;K2;1;1806A0200;2
9;K2;2;1806A0200;2
9;K2;3;1806A0200;2
10;K1;1;6896A0100;12
10;K1;2;1559A0200;12
10;K1;3;2434A2200;6
10;K1;4;4781A0100;8
10;K1;5;920A0100;8
10;K2;1;60078_0900;12
10;K2;2;60078_0900;12
10;K2;3;60078_0900;4
10;K2;4;60078_0900;12
11;K1;1;60091_011;12
11;K1;2;3470_085;6
11;K1;3;1312_0101;12
11;K1;4;1806_041;2
11;K1;5;60091_011;12
11;K1;6;3958A0600;24
11;K2;1;3470_085;2
11;K2;2;798_0184;5
11;K2;3;3470_028;6
12;K1;1;1320_0101;24
12;K1;2;1568_0101;24
12;K1;3;1320_0101;24
12;K1;4;1568_0101;24
12;K1;5;3957A0600;10
12;K2;1;342_0460;6
12;K2;2;3470_028;6
12;K2;3;798_0184;5
13;K1;1;4781A0100;8
13;K1;2;810A0400;12
13;K1;3;4778_0102;8
13;K1;4;6896A0100;12
13;K1;5;830D0100;12
13;K2;1;798_0184;5
13;K2;2;3470_028;6
13;K2;3;3470_085;6
14;K1;1;1806_041;2
14;K1;2;1312_0101;24
14;K1;3;3958A0600;24
14;K1;4;1806_041;2
14;K1;5;1806D0900;40
14;K1;6;1806_041;2
14;K2;1;3470_085;6
14;K2;2;60078_0900;12
14;K2;3;60091_011;12
15;K1;1;1806_041;2
15;K1;2;1806_041;2
15;K1;3;1312_0101;24
15;K1;4;1806_041;2
15;K1;5;3470_028;6
15;K1;6;6754_0481;12
15;K2;1;810A0400;12
15;K2;2;1567A0100;6
16;K1;1;1568_0101;24
16;K1;2;1806_041;2
16;K1;3;3470_028;6
16;K1;4;60091_011;12
16;K1;5;1806_041;2
16;K1;6;60091_011;12
16;K2;1;3470_028;6
16;K2;2;6754_0481;12
16;K2;3;6754_0481;12
17;K1;1;786A0600;3
17;K1;2;786A0600;3
17;K1;3;786A0700;8
17;K1;4;786A0600;2
17;K1;5;1806A0200;2
17;K1;6;786A0700;8
17;K2;1;342_0460;12
17;K2;2;60091_011;12
17;K2;3;3470_028;6
18;K1;1;786A0600;3
18;K1;2;786A0600;3
18;K1;3;786A0600;3
18;K1;4;786A0600;3
18;K1;5;786A0600;3
18;K1;6;786A0700;8
18;K2;1;1806A0200;2
18;K2;2;1806A0200;2
18;K2;3;1806A0200;2
19;K1;1;1556A0200;12
19;K1;2;1567A0100;6
19;K1;3;810A0400;12
19;K1;4;1559A0200;12
19;K1;5;787A0100;3
19;K1;6;786A0900;6
19;K2;1;3470_028;6
19;K2;2;3470_085;6
19;K2;3;6754_0481;12
20;K1;1;810A0400;8
20;K1;2;2434A2200;6
20;K1;3;1567A0100;6
20;K1;4;787A0100;3
20;K1;5;1559A0200;12
20;K1;6;1567A0100;6
20;K2;1;1806A0200;2
20;K2;2;1806A0200;2
20;K2;3;1806A0200;2
21;K1;1;1567A0100;6
21;K1;2;4775_0002;12
21;K1;3;810A0400;12
21;K1;4;787A0100;3
21;K1;5;1567A0100;6
21;K1;6;1554A0200;8
21;K2;1;1806A0200;2
21;K2;2;1806A0200;2
21;K2;3;1806A0200;2
22;K1;1;1806_041;2
22;K1;2;1320_0101;24
