AVAILABLE QUANTITY OF ITEM: 2979
QTD OF MANUFACTURED PIECES: 2979
ELAPSED TIME: 10817.25
OBJ. FUNCTION VALUE: 85.0
STARTS: 85
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K1;1;1567A0100;6
1;K1;2;829D0100;12
1;K1;3;1567A0100;6
1;K1;4;787A0100;3
1;K1;5;1567A0100;6
1;K1;6;1567A0100;6
1;K1;7;787A0100;3
2;K1;1;3958A0600;24
2;K1;2;6754_0481;12
2;K1;3;962A0100;3
2;K1;4;1806_041;2
2;K1;5;341_0250;12
2;K1;6;6724_0941;12
2;K2;1;786A0900;6
2;K2;2;831A0600;10
2;K2;3;786A0900;6
2;K2;4;786A0900;6
3;K1;1;829D0100;12
3;K1;2;1567A0100;6
3;K1;3;S4_9704411;6
3;K1;4;1567A0100;6
3;K1;5;1567A0100;6
3;K1;6;786A0900;6
3;K1;7;1567A0100;6
3;K2;1;1806A0200;2
3;K2;2;1806A0200;2
3;K2;3;1806A0200;2
4;K1;1;787A0100;3
4;K1;2;810A0400;12
4;K1;3;787A0100;3
4;K1;4;1559A0200;12
4;K1;5;829D0100;12
4;K1;6;831A0600;10
4;K2;1;1806A0200;2
4;K2;2;1806A0200;2
4;K2;3;1806A0200;2
5;K1;1;1567A0100;6
5;K1;2;810A0400;12
5;K1;3;1559A0200;6
5;K1;4;810A0400;12
5;K1;5;810A0400;12
5;K2;1;342_0460;12
5;K2;2;342_0460;12
5;K2;3;342_0460;12
5;K2;4;342_0460;12
6;K1;1;1806_041;2
6;K1;2;1806_041;2
6;K1;3;3958A0600;24
6;K1;4;342_0460;12
6;K1;5;6754_0481;12
6;K1;6;1320_0101;24
6;K2;1;787A0100;3
6;K2;2;787A0100;3
6;K2;3;787A0100;3
7;K1;1;830D0100;12
7;K1;2;787A0100;3
7;K1;3;1567A0100;6
7;K1;4;1567A0100;6
7;K1;5;1567A0100;6
7;K1;6;1567A0100;6
7;K1;7;1567A0100;6
7;K2;1;1806A0200;2
7;K2;2;1806A0200;2
7;K2;3;1806A0200;2
8;K1;1;1567A0100;6
8;K1;2;829D0100;12
8;K1;3;S4_9704411;6
8;K1;4;1567A0100;6
8;K1;5;1567A0100;6
8;K1;6;S4_9704411;6
8;K1;7;830D0100;12
8;K2;1;1806_5051;10
8;K2;2;342_0460;12
8;K2;3;341_0250;6
9;K1;1;3470_085;6
9;K1;2;1806_041;2
9;K1;3;1806_041;2
9;K1;4;341_0250;12
9;K1;5;962A0100;6
9;K1;6;1806_041;2
9;K2;1;1806A0200;2
9;K2;2;1806A0200;2
9;K2;3;1806A0200;2
10;K1;1;6774_01030;12
10;K1;2;1806_041;2
10;K1;3;1806_041;2
10;K1;4;6774_01030;12
10;K1;5;6774_01030;12
10;K1;6;60091_011;12
10;K2;1;786A0900;6
10;K2;2;786A0900;6
10;K2;3;786A0900;6
10;K2;4;786A0900;6
11;K1;1;3958A0600;24
11;K1;2;60091_011;12
11;K1;3;6753_02011;12
11;K1;4;1568_0101;24
11;K1;5;6724_0941;12
11;K1;6;1806_041;2
11;K2;1;1567A0100;6
11;K2;2;786A0900;6
11;K2;3;787A0100;3
12;K1;1;1806D0900;60
12;K1;2;6753_02011;6
12;K1;3;6774_01030;12
12;K1;4;6753_02011;12
12;K1;5;341_0250;12
12;K1;6;6753_02011;12
12;K1;7;1806_041;2
12;K2;1;1806A0200;2
12;K2;2;1806A0200;2
12;K2;3;1806A0200;2
13;K1;1;S4_9704411;6
13;K1;2;787A0100;3
13;K1;3;1567A0100;6
13;K1;4;1567A0100;6
13;K1;5;1567A0100;6
13;K1;6;1567A0100;6
13;K1;7;1556A0200;12
13;K2;1;1806A0200;2
13;K2;2;1806A0200;2
13;K2;3;1806A0200;2
14;K1;1;6754_0481;12
14;K1;2;6753_02011;12
14;K1;3;6753_02011;12
14;K1;4;1806_041;2
14;K1;5;6754_0481;12
14;K1;6;1568_0101;24
14;K2;1;1568_0101;24
14;K2;2;60091_011;12
15;K1;1;1567A0100;6
15;K1;2;1567A0100;6
15;K1;3;S4_9704411;6
15;K1;4;S4_9704411;6
15;K1;5;1567A0100;6
15;K1;6;1553A0200;6
15;K1;7;830D0100;12
15;K2;1;1806A0200;2
15;K2;2;1806A0200;2
