Item_ID;tank_B1;tank_B2
830D0100;5;2
829D0100;5;2
787A0100;7;3
1320_0101;5;2
831A0600;9;4
1806_041;6;2
1806D0900;10;4
1806A0800;7;3
1312_0101;5;2
1806_5051;6;3
1806A0200;6;3
4774_0002;5;2
1567A0100;8;3
4775_0002;5;2
810A0400;5;2
786A0900;9;4
786A0600;7;2
786A0700;5;2
926_0102;5;2
3445A1800;8;4
3957A0600;5;2
4778_0102;5;2
3958A0600;5;2
1386A2200;5;2
6896A0100;5;2
1556A0200;5;2
1559A0200;5;2
1555A0200;5;2
60078_0900;8;4
1553A0200;5;2
1554A0200;5;2
341_0250;7;3
60091_011;7;3
4781A0100;5;2
342_0460;9;4
S4_9504612;5;2
S4_9504622;5;2
6774_01030;7;3
6754_0481;7;3
3470_085;7;3
6753_02011;7;3
S4_9704411;9;3
918_0102;5;2
920A0100;5;2
5450A0000;7;3
1394_0101;5;2
6864_0280;6;2
1568_0101;5;2
6884_2011;5;2
6885_2011;5;2
6886_2011;5;2
6887_2011;5;2
6898A0100;5;2
6724_0941;7;3
1964A2200;4;1
6882_2011;5;2
6883_2011;5;2
6888_2011;5;2
798_0184;5;3
962A0100;5;2
S4_9704300;8;3
1642A0400;6;3
70069_23;5;2
6724_0271;8;3
2434A2200;5;2
3470_028;7;3
