Item_ID;quantity
830D0100;12
829D0100;12
787A0100;3
1320_0101;24
831A0600;10
1806_041;2
1806D0900;60
1806A0800;12
1312_0101;24
1806_5051;10
1806A0200;2
4774_0002;12
1567A0100;6
4775_0002;12
810A0400;12
786A0900;6
786A0600;3
786A0700;8
926_0102;12
3445A1800;6
3957A0600;24
4778_0102;8
3958A0600;24
1386A2200;12
6896A0100;12
1556A0200;12
1559A0200;12
1555A0200;12
60078_0900;12
1553A0200;12
1554A0200;8
341_0250;12
60091_011;12
4781A0100;8
342_0460;12
S4_9504612;21
S4_9504622;21
6774_01030;12
6754_0481;12
3470_085;6
6753_02011;12
S4_9704411;6
918_0102;15
920A0100;8
5450A0000;12
1394_0101;24
6864_0280;4
1568_0101;24
6884_2011;8
6885_2011;8
6886_2011;8
6887_2011;8
6898A0100;12
6724_0941;12
1964A2200;8
6882_2011;8
6883_2011;8
6888_2011;8
798_0184;5
962A0100;6
S4_9704300;6
1642A0400;6
70069_23;12
6724_0271;12
2434A2200;6
3470_028;6
