Item_ID;B1;B2;B6;LTS30
830D0100;0;1;0;0
829D0100;0;1;0;0
787A0100;0;1;0;0
1320_0101;0;0;0;1
831A0600;0;1;0;0
1806_041;0;0;0;1
1806D0900;0;0;0;1
1806A0800;0;0;0;1
1312_0101;0;0;0;1
1806_5051;0;0;0;1
1806A0200;1;0;0;0
4774_0002;0;1;0;0
1567A0100;1;0;1;0
4775_0002;0;1;0;0
810A0400;0;1;0;0
786A0900;0;1;0;0
786A0600;1;0;0;0
786A0700;1;0;0;0
926_0102;1;0;0;0
3445A1800;0;0;0;1
3957A0600;0;0;0;1
4778_0102;0;1;0;0
3958A0600;0;0;0;1
1386A2200;0;1;0;0
6896A0100;0;1;0;0
1556A0200;0;1;0;0
1559A0200;0;1;0;0
1555A0200;0;1;0;0
60078_0900;0;0;0;1
1553A0200;0;1;0;0
1554A0200;0;1;0;0
341_0250;0;0;0;1
60091_011;0;0;0;1
4781A0100;0;1;0;0
342_0460;0;0;0;1
S4_9504612;1;0;0;0
S4_9504622;1;0;0;0
6774_01030;0;0;0;1
6754_0481;0;0;0;1
3470_085;0;0;0;1
6753_02011;0;0;0;1
S4_9704411;0;1;0;0
918_0102;1;0;0;0
920A0100;0;1;0;0
5450A0000;0;1;0;0
1394_0101;0;0;0;1
6864_0280;0;0;0;1
1568_0101;0;0;0;1
6884_2011;0;1;0;0
6885_2011;0;1;0;0
6886_2011;0;1;0;0
6887_2011;0;1;0;0
6898A0100;0;1;0;0
6724_0941;0;0;0;1
1964A2200;0;1;0;0
6882_2011;0;1;0;0
6883_2011;0;1;0;0
6888_2011;0;1;0;0
798_0184;0;0;0;1
962A0100;0;0;0;1
S4_9704300;0;0;1;0
1642A0400;0;0;1;0
70069_23;0;0;0;1
6724_0271;0;0;0;1
2434A2200;0;1;0;0
3470_028;0;0;0;1
