Item_ID;Quantity
830D0100;36
829D0100;108
787A0100;100
1320_0101;213
831A0600;160
1806_041;75
1806D0900;0
1806A0800;0
1312_0101;208
1806_5051;0
1806A0200;160
4774_0002;108
1567A0100;160
4775_0002;108
810A0400;80
786A0900;120
786A0600;28
786A0700;120
926_0102;0
3445A1800;0
3957A0600;34
4778_0102;80
3958A0600;120
1386A2200;0
6896A0100;25
1556A0200;20
1559A0200;90
1555A0200;50
60078_0900;100
1553A0200;75
1554A0200;45
341_0250;0
60091_011;120
4781A0100;40
342_0460;0
S4_9504612;0
S4_9504622;0
6774_01030;30
6754_0481;50
3470_085;50
6753_02011;50
S4_9704411;0
918_0102;0
920A0100;20
5450A0000;0
1394_0101;60
6864_0280;0
1568_0101;100
6884_2011;0
6885_2011;0
6886_2011;0
6887_2011;0
6898A0100;0
6724_0941;0
1964A2200;10
6882_2011;0
6883_2011;0
6888_2011;0
798_0184;40
962A0100;0
S4_9704300;48
1642A0400;0
70069_23;0
6724_0271;60
2434A2200;40
3470_028;90
