operation_id,work_order_id,sequence,required_capability,processing_time_min,eligible_machine_ids,predecessors,mapping_status
FLEX-WO-0001-OP-01,FLEX-WO-0001,1,P1,1935,M1|M2|M3,,mapped
FLEX-WO-0001-OP-02,FLEX-WO-0001,2,P2,1935,M4|M5|M6,FLEX-WO-0001-OP-01,mapped
FLEX-WO-0001-OP-03,FLEX-WO-0001,3,P3,1935,M7|M8,FLEX-WO-0001-OP-02,mapped
FLEX-WO-0001-OP-04,FLEX-WO-0001,4,P4,1935,M9|M10|M11|M12|M13,FLEX-WO-0001-OP-03,mapped
FLEX-WO-0002-OP-01,FLEX-WO-0002,1,P1,167,M1|M2|M3,,mapped
FLEX-WO-0002-OP-02,FLEX-WO-0002,2,P2,167,M4|M5|M6,FLEX-WO-0002-OP-01,mapped
FLEX-WO-0002-OP-03,FLEX-WO-0002,3,P3,167,M7|M8,FLEX-WO-0002-OP-02,mapped
FLEX-WO-0002-OP-04,FLEX-WO-0002,4,P4,167,M9|M10|M11|M12|M13,FLEX-WO-0002-OP-03,mapped
FLEX-WO-0003-OP-01,FLEX-WO-0003,1,P1,1775,M1|M2|M3,,mapped
FLEX-WO-0003-OP-02,FLEX-WO-0003,2,P2,1775,M4|M5|M6,FLEX-WO-0003-OP-01,mapped
FLEX-WO-0003-OP-03,FLEX-WO-0003,3,P3,1775,M7|M8,FLEX-WO-0003-OP-02,mapped
FLEX-WO-0003-OP-04,FLEX-WO-0003,4,P4,1775,M9|M10|M11|M12|M13,FLEX-WO-0003-OP-03,mapped
FLEX-WO-0004-OP-01,FLEX-WO-0004,1,P1,4041,M1|M2|M3,,mapped
FLEX-WO-0004-OP-02,FLEX-WO-0004,2,P2,4041,M4|M5|M6,FLEX-WO-0004-OP-01,mapped
FLEX-WO-0004-OP-03,FLEX-WO-0004,3,P3,4041,M7|M8,FLEX-WO-0004-OP-02,mapped
FLEX-WO-0004-OP-04,FLEX-WO-0004,4,P4,4041,M9|M10|M11|M12|M13,FLEX-WO-0004-OP-03,mapped
FLEX-WO-0005-OP-01,FLEX-WO-0005,1,P1,1368,M1|M2|M3,,mapped
FLEX-WO-0005-OP-02,FLEX-WO-0005,2,P2,1368,M4|M5|M6,FLEX-WO-0005-OP-01,mapped
FLEX-WO-0005-OP-03,FLEX-WO-0005,3,P3,1368,M7|M8,FLEX-WO-0005-OP-02,mapped
FLEX-WO-0005-OP-04,FLEX-WO-0005,4,P4,1368,M9|M10|M11|M12|M13,FLEX-WO-0005-OP-03,mapped
FLEX-WO-0006-OP-01,FLEX-WO-0006,1,P1,877,M1|M2|M3,,mapped
FLEX-WO-0006-OP-02,FLEX-WO-0006,2,P2,877,M4|M5|M6,FLEX-WO-0006-OP-01,mapped
FLEX-WO-0006-OP-03,FLEX-WO-0006,3,P3,877,M7|M8,FLEX-WO-0006-OP-02,mapped
FLEX-WO-0006-OP-04,FLEX-WO-0006,4,P4,877,M9|M10|M11|M12|M13,FLEX-WO-0006-OP-03,mapped
FLEX-WO-0007-OP-01,FLEX-WO-0007,1,P1,4915,M1|M2|M3,,mapped
FLEX-WO-0007-OP-02,FLEX-WO-0007,2,P2,4915,M4|M5|M6,FLEX-WO-0007-OP-01,mapped
FLEX-WO-0007-OP-03,FLEX-WO-0007,3,P3,4915,M7|M8,FLEX-WO-0007-OP-02,mapped
FLEX-WO-0007-OP-04,FLEX-WO-0007,4,P5,4915,M14|M15,FLEX-WO-0007-OP-03,mapped
FLEX-WO-0008-OP-01,FLEX-WO-0008,1,P1,321,M1|M2|M3,,mapped
