work_order_id,product_id,product_name,quantity,priority,due_time,status
FLEX-WO-0001,FLEX-PRODUCT-012,Flexible packaging type 12,387061,4,2022-10-15T00:00:00+00:00,planned
FLEX-WO-0002,FLEX-PRODUCT-012,Flexible packaging type 12,33504,4,2022-10-15T00:00:00+00:00,planned
FLEX-WO-0003,FLEX-PRODUCT-025,Flexible packaging type 25,355143,4,2022-10-15T00:00:00+00:00,planned
FLEX-WO-0004,FLEX-PRODUCT-011,Flexible packaging type 11,808249,2,2022-10-16T00:00:00+00:00,planned
FLEX-WO-0005,FLEX-PRODUCT-012,Flexible packaging type 12,273768,2,2022-10-16T00:00:00+00:00,planned
FLEX-WO-0006,FLEX-PRODUCT-015,Flexible packaging type 15,175476,3,2022-10-16T00:00:00+00:00,planned
FLEX-WO-0007,FLEX-PRODUCT-026,Flexible packaging type 26,983104,3,2022-10-16T00:00:00+00:00,planned
FLEX-WO-0008,FLEX-PRODUCT-012,Flexible packaging type 12,64335,4,2022-10-16T00:00:00+00:00,planned
FLEX-WO-0009,FLEX-PRODUCT-006,Flexible packaging type 6,156133,2,2022-10-17T00:00:00+00:00,planned
FLEX-WO-0010,FLEX-PRODUCT-026,Flexible packaging type 26,254879,3,2022-10-18T00:00:00+00:00,planned
FLEX-WO-0011,FLEX-PRODUCT-009,Flexible packaging type 9,307681,5,2022-10-18T00:00:00+00:00,planned
FLEX-WO-0012,FLEX-PRODUCT-015,Flexible packaging type 15,728136,4,2022-10-19T00:00:00+00:00,planned
FLEX-WO-0013,FLEX-PRODUCT-018,Flexible packaging type 18,227717,4,2022-10-19T00:00:00+00:00,planned
FLEX-WO-0014,FLEX-PRODUCT-025,Flexible packaging type 25,612278,5,2022-10-19T00:00:00+00:00,planned
FLEX-WO-0015,FLEX-PRODUCT-018,Flexible packaging type 18,85812,2,2022-10-20T00:00:00+00:00,planned
FLEX-WO-0016,FLEX-PRODUCT-017,Flexible packaging type 17,261947,3,2022-10-20T00:00:00+00:00,planned
FLEX-WO-0017,FLEX-PRODUCT-026,Flexible packaging type 26,83339,5,2022-10-20T00:00:00+00:00,planned
FLEX-WO-0018,FLEX-PRODUCT-022,Flexible packaging type 22,511711,5,2022-10-22T00:00:00+00:00,planned
FLEX-WO-0019,FLEX-PRODUCT-012,Flexible packaging type 12,131683,4,2022-10-23T00:00:00+00:00,planned
FLEX-WO-0020,FLEX-PRODUCT-023,Flexible packaging type 23,620542,4,2022-10-23T00:00:00+00:00,planned
FLEX-WO-0021,FLEX-PRODUCT-011,Flexible packaging type 11,729394,3,2022-10-24T00:00:00+00:00,planned
FLEX-WO-0022,FLEX-PRODUCT-017,Flexible packaging type 17,285783,4,2022-10-24T00:00:00+00:00,planned
FLEX-WO-0023,FLEX-PRODUCT-011,Flexible packaging type 11,220134,5,2022-10-24T00:00:00+00:00,planned
FLEX-WO-0024,FLEX-PRODUCT-006,Flexible packaging type 6,624050,5,2022-10-24T00:00:00+00:00,planned
FLEX-WO-0025,FLEX-PRODUCT-012,Flexible packaging type 12,568296,3,2022-10-25T00:00:00+00:00,planned
FLEX-WO-0026,FLEX-PRODUCT-022,Flexible packaging type 22,527722,1,2022-10-26T00:00:00+00:00,planned
FLEX-WO-0027,FLEX-PRODUCT-017,Flexible packaging type 17,346657,3,2022-10-26T00:00:00+00:00,planned
FLEX-WO-0028,FLEX-PRODUCT-018,Flexible packaging type 18,263278,2,2022-10-27T00:00:00+00:00,planned
FLEX-WO-0029,FLEX-PRODUCT-022,Flexible packaging type 22,809080,2,2022-10-27T00:00:00+00:00,planned
FLEX-WO-0030,FLEX-PRODUCT-023,Flexible packaging type 23,104130,2,2022-10-28T00:00:00+00:00,planned
FLEX-WO-0031,FLEX-PRODUCT-006,Flexible packaging type 6,67416,3,2022-10-29T00:00:00+00:00,planned
FLEX-WO-0032,FLEX-PRODUCT-017,Flexible packaging type 17,266360,3,2022-10-29T00:00:00+00:00,planned
FLEX-WO-0033,FLEX-PRODUCT-025,Flexible packaging type 25,265127,3,2022-10-29T00:00:00+00:00,planned
FLEX-WO-0034,FLEX-PRODUCT-015,Flexible packaging type 15,561799,3,2022-10-30T00:00:00+00:00,planned
FLEX-WO-0035,FLEX-PRODUCT-012,Flexible packaging type 12,702508,1,2022-11-02T00:00:00+00:00,planned
FLEX-WO-0036,FLEX-PRODUCT-026,Flexible packaging type 26,41360,1,2022-11-03T00:00:00+00:00,planned
FLEX-WO-0037,FLEX-PRODUCT-011,Flexible packaging type 11,141350,3,2022-11-04T00:00:00+00:00,planned
FLEX-WO-0038,FLEX-PRODUCT-025,Flexible packaging type 25,925967,3,2022-11-04T00:00:00+00:00,planned
FLEX-WO-0039,FLEX-PRODUCT-018,Flexible packaging type 18,422245,4,2022-11-04T00:00:00+00:00,planned
