operation_id,work_order_id,sequence,required_capability,processing_time_min,eligible_machine_ids,material_inputs,mapping_status
TABLET-WO-00001-OP-01,TABLET-WO-00001,1,SET1,6,OPER001,P027|P026|P027,mapped
TABLET-WO-00002-OP-01,TABLET-WO-00002,1,SET1,10,OPER001,P027|P026|P027,mapped
TABLET-WO-00003-OP-01,TABLET-WO-00003,1,SET1,7,OPER001,P027|P026|P027,mapped
TABLET-WO-00004-OP-01,TABLET-WO-00004,1,SET1,6,OPER001,P027|P026|P027,mapped
TABLET-WO-00005-OP-01,TABLET-WO-00005,1,SET1,11,OPER001,P027|P026|P027,mapped
TABLET-WO-00006-OP-01,TABLET-WO-00006,1,SET1,13,OPER001,P027|P026|P027,mapped
TABLET-WO-00007-OP-01,TABLET-WO-00007,1,SET1,10,OPER001,P027|P026|P027,mapped
TABLET-WO-00008-OP-01,TABLET-WO-00008,1,SET1,8,OPER001,P027|P026|P027,mapped
TABLET-WO-00009-OP-01,TABLET-WO-00009,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00010-OP-01,TABLET-WO-00010,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00011-OP-01,TABLET-WO-00011,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00012-OP-01,TABLET-WO-00012,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00013-OP-01,TABLET-WO-00013,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00014-OP-01,TABLET-WO-00014,1,SET1,8,OPER001,P027|P026|P027,mapped
TABLET-WO-00015-OP-01,TABLET-WO-00015,1,SET1,10,OPER001,P027|P026|P027,mapped
TABLET-WO-00016-OP-01,TABLET-WO-00016,1,SET1,6,OPER001,P027|P026|P027,mapped
TABLET-WO-00017-OP-01,TABLET-WO-00017,1,SET1,7,OPER001,P027|P026|P027,mapped
TABLET-WO-00018-OP-01,TABLET-WO-00018,1,SET1,6,OPER001,P027|P026|P027,mapped
TABLET-WO-00019-OP-01,TABLET-WO-00019,1,SET1,3,OPER001,P027|P026|P027,mapped
TABLET-WO-00020-OP-01,TABLET-WO-00020,1,SET1,3,OPER001,P027|P026|P027,mapped
TABLET-WO-00021-OP-01,TABLET-WO-00021,1,SET1,5,OPER001,P027|P026|P027,mapped
TABLET-WO-00022-OP-01,TABLET-WO-00022,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00023-OP-01,TABLET-WO-00023,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00024-OP-01,TABLET-WO-00024,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00025-OP-01,TABLET-WO-00025,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00026-OP-01,TABLET-WO-00026,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00027-OP-01,TABLET-WO-00027,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00028-OP-01,TABLET-WO-00028,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00029-OP-01,TABLET-WO-00029,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00030-OP-01,TABLET-WO-00030,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00031-OP-01,TABLET-WO-00031,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00032-OP-01,TABLET-WO-00032,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00033-OP-01,TABLET-WO-00033,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00034-OP-01,TABLET-WO-00034,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00035-OP-01,TABLET-WO-00035,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00036-OP-01,TABLET-WO-00036,1,SET1,1,OPER001,P027|P026|P027,mapped
TABLET-WO-00037-OP-01,TABLET-WO-00037,1,SET1,1,OPER001,P027|P026|P027,mapped
