machine_id,name,capabilities,status,capacity,valid_from,valid_to
OPER001,OPER001,SET1,available,500,2018-02-05T00:00:00+00:00,2019-01-17T00:00:00+00:00
OPER005,OPER005,SET1,available,500,2018-02-05T00:00:00+00:00,2019-01-17T00:00:00+00:00
OPER003,OPER003,SET3,available,750,2018-02-05T00:00:00+00:00,2019-01-17T00:00:00+00:00
OPER007,OPER007,SET3,available,750,2018-02-05T00:00:00+00:00,2019-01-17T00:00:00+00:00
OPER004,OPER004,SET4,available,750,2018-02-05T00:00:00+00:00,2019-01-17T00:00:00+00:00
OPER008,OPER008,SET4,available,750,2018-02-05T00:00:00+00:00,2019-01-17T00:00:00+00:00
OPER002,OPER002,SET2,available,500,2018-02-05T00:00:00+00:00,2019-01-17T00:00:00+00:00
OPER006,OPER006,SET2,available,750,2018-02-05T00:00:00+00:00,2019-01-17T00:00:00+00:00
OPER001,OPER001,SET5,available,500,2018-02-05T00:00:00+00:00,2019-01-17T00:00:00+00:00
OPER005,OPER005,SET5,available,500,2018-02-05T00:00:00+00:00,2019-01-17T00:00:00+00:00
OPER002,OPER002,SET5,available,500,2018-02-05T00:00:00+00:00,2019-01-17T00:00:00+00:00
OPER006,OPER006,SET5,available,750,2018-02-05T00:00:00+00:00,2019-01-17T00:00:00+00:00
OPER014,OPER014,SET5,available,750,2018-02-05T00:00:00+00:00,2019-01-17T00:00:00+00:00
