probleminstanceid,machineid,materialidfrom,materialidto,validitydateto,validitydatefrom,setuptime,setupcost
SET1,OPER001,P001,P001,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET1,OPER001,P001,P005,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET1,OPER001,P001,P006,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET1,OPER001,P005,P001,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET1,OPER001,P005,P005,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET1,OPER001,P005,P006,2019-01-17 00:00:00,2018-02-05 00:00:00,0.625,282.5
SET1,OPER001,P006,P001,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET1,OPER001,P006,P005,2019-01-17 00:00:00,2018-02-05 00:00:00,0.625,282.5
SET1,OPER001,P006,P006,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET1,OPER005,P023,P023,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET1,OPER005,P027,P023,2019-01-17 00:00:00,2018-02-05 00:00:00,0.625,282.5
SET1,OPER005,P029,P023,2019-01-17 00:00:00,2018-02-05 00:00:00,0.625,282.5
SET1,OPER005,P023,P027,2019-01-17 00:00:00,2018-02-05 00:00:00,0.625,282.5
SET1,OPER005,P027,P027,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET1,OPER005,P029,P027,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET1,OPER005,P023,P029,2019-01-17 00:00:00,2018-02-05 00:00:00,0.625,282.5
SET1,OPER005,P027,P029,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET1,OPER005,P029,P029,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET3,OPER003,P007,P007,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET3,OPER003,P007,P008,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P007,P009,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P007,P010,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P007,P013,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P007,P014,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P007,P015,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P008,P007,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P008,P008,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET3,OPER003,P008,P009,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P008,P010,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P008,P013,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P008,P014,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P008,P015,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P009,P007,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P009,P008,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P009,P009,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET3,OPER003,P009,P010,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P009,P013,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P009,P014,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P009,P015,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P010,P007,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P010,P008,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P010,P009,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P010,P010,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET3,OPER003,P010,P013,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER003,P010,P014,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P010,P015,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P013,P007,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P013,P008,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P013,P009,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P013,P010,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER003,P013,P013,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET3,OPER003,P013,P014,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P013,P015,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P014,P007,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P014,P008,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P014,P009,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P014,P010,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P014,P013,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P014,P014,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET3,OPER003,P014,P015,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P015,P007,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
