work_order_id,product_id,product_name,quantity,priority,due_time,status,problem_instance
TABLET-WO-00001,P005,P005,2200,0,2018-02-08T00:00:00+00:00,planned,SET1
TABLET-WO-00002,P005,P005,3800,0,2018-02-01T00:00:00+00:00,planned,SET1
TABLET-WO-00003,P005,P005,2800,0,2018-02-22T00:00:00+00:00,planned,SET1
TABLET-WO-00004,P005,P005,2400,0,2018-02-15T00:00:00+00:00,planned,SET1
TABLET-WO-00005,P005,P005,4400,0,2018-03-22T00:00:00+00:00,planned,SET1
TABLET-WO-00006,P005,P005,5100,0,2018-03-29T00:00:00+00:00,planned,SET1
TABLET-WO-00007,P005,P005,4100,0,2018-03-01T00:00:00+00:00,planned,SET1
TABLET-WO-00008,P005,P005,3400,0,2018-03-08T00:00:00+00:00,planned,SET1
TABLET-WO-00009,P005,P005,0,0,2018-03-15T00:00:00+00:00,planned,SET1
TABLET-WO-00010,P005,P005,0,0,2018-04-26T00:00:00+00:00,planned,SET1
TABLET-WO-00011,P005,P005,0,0,2018-04-19T00:00:00+00:00,planned,SET1
TABLET-WO-00012,P005,P005,0,0,2018-04-05T00:00:00+00:00,planned,SET1
TABLET-WO-00013,P005,P005,0,0,2018-04-12T00:00:00+00:00,planned,SET1
TABLET-WO-00014,P005,P005,3300,0,2018-05-24T00:00:00+00:00,planned,SET1
TABLET-WO-00015,P005,P005,3800,0,2018-05-31T00:00:00+00:00,planned,SET1
TABLET-WO-00016,P005,P005,2200,0,2018-05-17T00:00:00+00:00,planned,SET1
TABLET-WO-00017,P005,P005,2700,0,2018-05-03T00:00:00+00:00,planned,SET1
TABLET-WO-00018,P005,P005,2400,0,2018-05-10T00:00:00+00:00,planned,SET1
TABLET-WO-00019,P005,P005,1200,0,2018-06-07T00:00:00+00:00,planned,SET1
TABLET-WO-00020,P005,P005,1200,0,2018-06-28T00:00:00+00:00,planned,SET1
TABLET-WO-00021,P005,P005,2000,0,2018-06-21T00:00:00+00:00,planned,SET1
TABLET-WO-00022,P005,P005,0,0,2018-06-14T00:00:00+00:00,planned,SET1
TABLET-WO-00023,P005,P005,0,0,2018-07-12T00:00:00+00:00,planned,SET1
TABLET-WO-00024,P005,P005,0,0,2018-07-26T00:00:00+00:00,planned,SET1
TABLET-WO-00025,P005,P005,0,0,2018-07-19T00:00:00+00:00,planned,SET1
TABLET-WO-00026,P005,P005,0,0,2018-07-05T00:00:00+00:00,planned,SET1
TABLET-WO-00027,P005,P005,0,0,2018-08-16T00:00:00+00:00,planned,SET1
TABLET-WO-00028,P005,P005,0,0,2018-08-23T00:00:00+00:00,planned,SET1
TABLET-WO-00029,P005,P005,0,0,2018-08-09T00:00:00+00:00,planned,SET1
TABLET-WO-00030,P005,P005,0,0,2018-08-30T00:00:00+00:00,planned,SET1
TABLET-WO-00031,P005,P005,0,0,2018-08-02T00:00:00+00:00,planned,SET1
TABLET-WO-00032,P005,P005,0,0,2018-09-13T00:00:00+00:00,planned,SET1
TABLET-WO-00033,P005,P005,0,0,2018-09-27T00:00:00+00:00,planned,SET1
TABLET-WO-00034,P005,P005,0,0,2018-09-06T00:00:00+00:00,planned,SET1
TABLET-WO-00035,P005,P005,0,0,2018-09-20T00:00:00+00:00,planned,SET1
TABLET-WO-00036,P005,P005,0,0,2018-10-25T00:00:00+00:00,planned,SET1
TABLET-WO-00037,P005,P005,0,0,2018-10-04T00:00:00+00:00,planned,SET1
TABLET-WO-00038,P005,P005,0,0,2018-10-18T00:00:00+00:00,planned,SET1
TABLET-WO-00039,P005,P005,0,0,2018-10-11T00:00:00+00:00,planned,SET1
TABLET-WO-00040,P005,P005,4600,0,2018-11-29T00:00:00+00:00,planned,SET1
TABLET-WO-00041,P005,P005,5000,0,2018-11-15T00:00:00+00:00,planned,SET1
TABLET-WO-00042,P005,P005,3300,0,2018-11-08T00:00:00+00:00,planned,SET1
TABLET-WO-00043,P005,P005,3000,0,2018-11-01T00:00:00+00:00,planned,SET1
TABLET-WO-00044,P005,P005,3300,0,2018-11-22T00:00:00+00:00,planned,SET1
TABLET-WO-00045,P005,P005,0,0,2018-12-06T00:00:00+00:00,planned,SET1
TABLET-WO-00046,P005,P005,0,0,2018-12-20T00:00:00+00:00,planned,SET1
TABLET-WO-00047,P005,P005,0,0,2018-12-27T00:00:00+00:00,planned,SET1
TABLET-WO-00048,P005,P005,0,0,2018-12-13T00:00:00+00:00,planned,SET1
TABLET-WO-00049,P005,P005,600,0,2019-01-03T00:00:00+00:00,planned,SET1
TABLET-WO-00050,P005,P005,600,0,2019-01-31T00:00:00+00:00,planned,SET1
TABLET-WO-00051,P005,P005,700,0,2019-01-10T00:00:00+00:00,planned,SET1
TABLET-WO-00052,P005,P005,700,0,2019-01-24T00:00:00+00:00,planned,SET1
TABLET-WO-00053,P005,P005,0,0,2019-01-17T00:00:00+00:00,planned,SET1
TABLET-WO-00054,P005,P005,3100,0,2019-02-07T00:00:00+00:00,planned,SET1
TABLET-WO-00055,P005,P005,2500,0,2019-02-14T00:00:00+00:00,planned,SET1
TABLET-WO-00056,P005,P005,2500,0,2019-02-28T00:00:00+00:00,planned,SET1
TABLET-WO-00057,P005,P005,2700,0,2019-02-21T00:00:00+00:00,planned,SET1
TABLET-WO-00058,P005,P005,0,0,2019-03-28T00:00:00+00:00,planned,SET1
TABLET-WO-00059,P005,P005,0,0,2019-03-07T00:00:00+00:00,planned,SET1
TABLET-WO-00060,P005,P005,0,0,2019-03-14T00:00:00+00:00,planned,SET1
TABLET-WO-00061,P005,P005,0,0,2019-03-21T00:00:00+00:00,planned,SET1
TABLET-WO-00062,P005,P005,600,0,2019-04-11T00:00:00+00:00,planned,SET1
TABLET-WO-00063,P005,P005,300,0,2019-04-25T00:00:00+00:00,planned,SET1
TABLET-WO-00064,P005,P005,300,0,2019-04-18T00:00:00+00:00,planned,SET1
TABLET-WO-00065,P005,P005,0,0,2019-04-04T00:00:00+00:00,planned,SET1
TABLET-WO-00066,P005,P005,200,0,2019-05-30T00:00:00+00:00,planned,SET1
TABLET-WO-00067,P005,P005,200,0,2019-05-02T00:00:00+00:00,planned,SET1
TABLET-WO-00068,P005,P005,300,0,2019-05-16T00:00:00+00:00,planned,SET1
TABLET-WO-00069,P005,P005,200,0,2019-05-23T00:00:00+00:00,planned,SET1
TABLET-WO-00070,P005,P005,300,0,2019-05-09T00:00:00+00:00,planned,SET1
TABLET-WO-00071,P005,P005,0,0,2019-06-27T00:00:00+00:00,planned,SET1
